Wavelength (nm)	Intensity
400,03	799,104246331658
400,17	799,299992669988
400,3	799,493758474937
400,43	799,685543746503
400,56	799,875348484688
400,7	800,063172689491
400,83	800,249016360912
400,96	800,432879498952
401,09	800,61476210361
401,23	800,794664174886
401,36	800,972585712781
401,49	801,148526717294
401,62	801,322487188425
401,75	801,494467126174
401,89	801,664466530542
402,02	801,832485401527
402,15	801,998523739132
402,28	802,162581543354
402,41	802,324658814195
402,55	802,484755551654
402,68	802,642871755731
402,81	802,799007426427
402,94	802,953162563741
403,08	803,105337167673
403,21	803,255531238223
403,34	803,403744775392
403,47	803,549977779179
403,6	803,694230249584
403,74	803,836502186607
403,87	803,976793590249
404	804,115104460509
404,13	804,251434797387
404,26	804,385784600884
404,4	804,518153870999
404,53	804,648542607732
404,66	804,776950811084
404,79	804,903378481053
404,93	805,027825617641
405,06	805,150292220848
405,19	805,270778290672
405,32	805,389283827115
405,45	805,505808830176
405,59	805,620353299856
405,72	805,732917236153
405,85	805,843500639069
405,98	805,952103508604
406,11	806,058725844756
406,25	806,163367647527
406,38	806,266028916916
406,51	806,366709652923
406,64	806,465409855549
406,77	806,093341314715
406,91	804,454450697497
407,04	805,458024083962
407,17	806,501762283024
407,3	806,502346327837
407,43	807,046097151463
407,57	807,269749623506
407,7	806,878427499061
407,83	807,261421215908
407,96	806,239005793783
408,09	807,827053600506
408,23	808,000126152421
408,36	808,339175878753
408,49	808,323346785164
408,62	808,325051048795
408,75	808,229496258364
408,89	809,578965234388
409,02	809,317263079707
409,15	809,013108840981
409,28	809,556490109205
409,41	809,557065992036
409,55	809,176847389594
409,68	810,101192383316
409,81	810,59304318393
409,94	810,337559247187
410,07	810,803202770762
410,2	811,553462730739
410,34	812,231422019872
410,47	812,106244463281
410,6	812,934001176817
410,73	813,036843696021
410,86	813,282782944314
411	813,575226027457
411,13	812,340440543083
411,26	812,797350606906
411,39	812,807405608522
411,52	811,842200839502
411,66	812,517497796382
411,79	812,810506572987
411,92	811,908473284221
412,05	811,644376057023
412,18	810,749747631074
412,31	811,058051092488
412,45	811,538315602434
412,58	810,833936236342
412,71	812,632956157752
412,84	812,526950535831
412,97	812,668215607969
413,11	810,945358832971
413,24	810,574315351924
413,37	810,524881616317
413,5	809,255109004104
413,63	807,607854261154
413,76	806,168524673827
413,9	805,512463094853
414,03	805,957003096426
414,16	806,78073932636
414,29	807,539123073472
414,42	809,026755551283
414,56	808,767552058119
414,69	808,26025363313
414,82	806,735047605732
414,95	807,739766687349
415,08	807,88186509719
415,21	807,812074378312
415,35	809,678638959042
415,48	810,037861316229
415,61	810,096136143712
415,74	809,810446205786
415,87	809,360425710532
416	810,438431885907
416,14	811,295279467752
416,27	810,706494892208
416,4	812,114847494458
416,53	813,419226464395
416,66	814,071173973708
416,79	814,848052490686
416,93	815,524664184866
417,06	815,561223941812
417,19	816,013175616591
417,32	816,614871182264
417,45	816,763537441123
417,58	815,9260538248
417,72	815,897086831013
417,85	816,087962370994
417,98	816,337368230027
418,11	816,443206371122
418,24	816,320180571455
418,37	815,62784413587
418,51	815,404983073065
418,64	814,232944739134
418,77	813,913243994302
418,9	813,186520822956
419,03	812,705908388898
419,16	813,269748009752
419,29	813,37785867713
419,43	812,340154617404
419,56	811,79336913303
419,69	812,631269837664
419,82	812,402568454904
419,95	811,986385122008
420,08	811,042601965051
420,22	811,562886871212
420,35	811,757160696652
420,48	809,790374355882
420,61	808,954689037836
420,74	808,525505032057
420,87	808,01031825901
421	808,394401370235
421,14	808,027125596055
421,27	809,622763462755
421,4	808,985459235244
421,53	807,822957893848
421,66	807,527941479585
421,79	807,775999137778
421,93	808,539611283459
422,06	806,536444731852
422,19	803,857786582542
422,32	803,993413729723
422,45	805,117762446148
422,58	804,398672346847
422,71	802,867791062601
422,85	804,657417365038
422,98	804,702709970026
423,11	804,441817552629
423,24	803,917760762485
423,37	804,129691738106
423,5	804,259434032724
423,63	802,968739699213
423,77	802,757592664121
423,9	803,265153239596
424,03	803,480279709524
424,16	803,129839667462
424,29	802,741973690573
424,42	803,242034430628
424,55	802,996731356631
424,69	801,800410295398
424,82	800,975801240319
424,95	800,398044241317
425,08	799,87251735659
425,21	798,51283822557
425,34	797,490118223473
425,47	798,384807406954
425,6	798,975716649335
425,74	798,251638985258
425,87	797,995036047294
426	798,444124917346
426,13	797,779866984757
426,26	796,868329537808
426,39	797,511284332317
426,52	798,290977037509
426,66	798,41419761782
426,79	799,349058266992
426,92	800,533060702187
427,05	802,997207064396
427,18	804,008999793183
427,31	804,573022047836
427,44	803,568738231105
427,57	804,549693509157
427,71	803,848249654092
427,84	803,665803815333
427,97	804,019103131672
428,1	805,501894080671
428,23	806,268030865223
428,36	806,823153781398
428,49	806,186641603966
428,62	806,762868892714
428,76	806,896054657893
428,89	806,207601898054
429,02	807,178746486299
429,15	808,376770104195
429,28	809,420399406931
429,41	808,789211095867
429,54	808,509525463226
429,67	810,079031106995
429,81	810,616618102587
429,94	810,70368961168
430,07	810,560849469413
430,2	810,81996106601
430,33	810,98404729405
430,46	811,367804776594
430,59	811,707127844823
430,72	812,961645108201
430,85	813,871176921576
430,99	813,238038438796
431,12	812,277993591593
431,25	812,371027943572
431,38	812,693538600462
431,51	811,1844644814
431,64	810,873048467954
431,77	811,118247405323
431,9	811,934708140717
432,03	811,473816713711
432,17	810,552294035228
432,3	810,26003508312
432,43	809,858463537616
432,56	809,502813325993
432,69	808,444008045464
432,82	807,796976519011
432,95	807,05733324012
433,08	806,095423511283
433,21	806,170804680468
433,35	807,494356610419
433,48	808,150526998331
433,61	807,424839903408
433,74	807,95403148276
