Wavelength (nm)	Intensity
377.35	385.40
377.48	502.00
377.62	651.80
377.75	640.60
377.88	682.00
378.02	715.40
378.15	753.40
378.28	754.20
378.41	752.60
378.55	746.00
378.68	744.00
378.81	734.60
378.95	726.60
379.08	730.00
379.21	734.80
379.35	752.00
379.48	757.60
379.61	759.60
379.74	766.20
379.88	778.80
380.01	774.20
380.14	767.40
380.28	774.20
380.41	767.80
380.54	745.60
380.68	740.20
380.81	753.60
380.94	760.60
381.07	759.80
381.21	756.40
381.34	777.00
381.47	767.40
381.61	751.80
381.74	757.60
381.87	782.60
382.00	762.20
382.14	760.60
382.27	781.80
382.40	785.60
382.54	764.40
382.67	757.40
382.80	762.60
382.93	749.00
383.07	744.80
383.20	749.20
383.33	743.60
383.47	759.00
383.60	760.80
383.73	754.00
383.86	757.20
384.00	769.20
384.13	755.60
384.26	754.00
384.40	767.80
384.53	770.80
384.66	765.80
384.79	760.40
384.93	764.20
385.06	769.80
385.19	774.60
385.33	776.00
385.46	782.60
385.59	769.00
385.72	746.60
385.86	740.00
385.99	739.00
386.12	740.00
386.25	758.60
386.39	760.60
386.52	760.20
386.65	756.80
386.79	759.60
386.92	741.60
387.05	735.80
387.18	740.20
387.32	747.00
387.45	740.80
387.58	748.80
387.71	756.40
387.85	753.80
387.98	756.00
388.11	756.40
388.25	759.60
388.38	766.20
388.51	761.00
388.64	751.60
388.78	747.60
388.91	760.20
389.04	757.00
389.17	764.80
389.31	780.20
389.44	785.20
389.57	768.00
389.70	761.20
389.84	753.60
389.97	747.40
390.10	744.20
390.24	743.00
390.37	755.20
390.50	761.20
390.63	763.60
390.77	767.40
390.90	761.20
391.03	748.80
391.16	745.20
391.30	737.80
391.43	731.40
391.56	748.20
391.69	756.80
391.83	757.40
391.96	770.40
392.09	772.00
392.22	757.20
392.36	750.40
392.49	752.00
392.62	746.20
392.75	739.80
392.89	740.00
393.02	736.40
393.15	746.40
393.28	732.80
393.42	737.20
393.55	730.40
393.68	731.40
393.81	716.00
393.95	721.00
394.08	725.20
394.21	744.00
394.34	752.80
394.48	760.00
394.61	769.60
394.74	770.40
394.87	770.80
395.01	762.20
395.14	774.40
395.27	781.60
395.40	778.40
395.54	770.80
395.67	778.00
395.80	757.20
395.93	743.40
396.07	733.60
396.20	730.80
396.33	725.20
396.46	729.80
396.59	725.80
396.73	740.40
396.86	746.20
396.99	749.80
397.12	750.40
397.26	794.80
397.39	804.60
397.52	808.40
397.65	803.80
397.79	813.00
397.92	768.20
398.05	752.20
398.18	751.00
398.32	755.60
398.45	750.40
398.58	751.20
398.71	758.20
398.84	757.80
398.98	756.60
399.11	750.60
399.24	745.60
399.37	738.00
399.51	734.80
399.64	733.40
399.77	738.40
399.90	742.40
400.03	750.60
400.17	757.00
400.30	754.40
400.43	748.60
400.56	753.80
400.70	742.20
400.83	737.60
400.96	744.60
401.09	759.40
401.23	758.80
401.36	768.00
401.49	763.00
401.62	752.60
401.75	739.20
401.89	743.00
402.02	742.00
402.15	741.80
402.28	745.60
402.41	748.40
402.55	754.00
402.68	756.40
402.81	762.00
402.94	759.20
403.08	758.40
403.21	754.80
403.34	753.60
403.47	759.00
403.60	767.80
403.74	761.20
403.87	754.60
404.00	746.60
404.13	733.00
404.26	731.20
