Wavelength (nm)	Reflectance (%)
377.35	0.0000
377.48	0.0000
377.62	0.0000
377.75	35.4043
377.88	0.0000
378.02	150.9524
378.15	200.0000
378.28	200.0000
378.41	200.0000
378.55	150.7059
378.68	0.0000
378.81	200.0000
378.95	200.0000
379.08	200.0000
379.21	200.0000
379.35	81.5484
379.48	131.0233
379.61	132.8000
379.74	71.9684
379.88	0.0000
380.01	24.1031
380.14	52.7107
380.28	5.7442
380.41	0.0000
380.54	80.8337
380.68	78.0035
380.81	30.5479
380.94	14.1595
381.07	45.1603
381.21	53.3716
381.34	0.0000
381.47	16.5932
381.61	83.2753
381.74	64.6594
381.87	0.0000
382.00	54.6394
382.14	79.4455
382.27	11.8158
382.40	0.0000
382.54	42.0096
382.67	50.1912
382.80	14.7488
382.93	39.8246
383.07	51.2054
383.20	45.4740
383.33	68.0820
383.47	26.4472
383.60	22.0185
383.73	48.0123
383.86	42.9254
384.00	0.0000
384.13	36.5617
384.26	47.3262
384.40	19.5616
384.53	7.0543
384.66	27.1473
384.79	47.1181
384.93	40.5737
385.06	19.8426
385.19	23.3477
385.33	26.7260
385.46	4.5229
385.59	15.4610
385.72	51.6850
385.86	42.4074
385.99	41.4258
386.12	41.9037
386.25	12.9438
386.39	18.2660
386.52	33.6623
386.65	25.1922
386.79	4.0575
386.92	38.9321
387.05	48.7800
387.18	25.6918
387.32	19.7263
387.45	59.6598
387.58	49.6406
387.71	30.9382
387.85	35.8773
387.98	35.1057
388.11	35.5739
388.25	22.3495
388.38	12.8505
388.51	23.5387
388.64	46.1047
388.78	46.1979
388.91	20.5134
389.04	43.0786
389.17	38.5684
389.31	5.4521
389.44	0.0000
389.57	35.4683
389.70	33.8087
389.84	40.8501
389.97	43.6838
390.10	48.9041
390.24	50.9365
390.37	28.1515
390.50	24.1145
390.63	29.0950
390.77	21.3829
390.90	22.7968
391.03	40.3333
391.16	33.1506
391.30	37.0088
391.43	52.0388
391.56	30.0043
391.69	32.6403
391.83	49.7253
391.96	26.3323
392.09	15.5446
392.22	45.0314
392.36	46.7012
392.49	16.4377
392.62	19.3188
392.75	28.6376
392.89	20.3137
393.02	24.7079
393.15	12.2724
393.28	36.2371
393.42	26.7259
393.55	28.2692
393.68	17.6948
393.81	42.4935
393.95	41.4426
394.08	37.1714
394.21	27.1356
394.34	25.1109
394.48	27.2945
394.61	17.4572
394.74	24.2292
394.87	23.6277
395.01	43.3566
395.14	29.1581
395.27	17.7869
395.40	27.2518
395.54	34.3049
395.67	11.6798
395.80	26.0993
395.93	41.8014
396.07	40.6595
396.20	36.2234
396.33	39.3607
396.46	41.3780
396.59	47.4783
396.73	29.9273
396.86	28.5009
396.99	46.2470
397.12	62.2791
397.26	13.8536
397.39	19.9000
397.52	39.3679
397.65	32.0673
397.79	2.0034
397.92	45.5387
398.05	55.5101
398.18	31.4324
398.32	20.2617
398.45	27.6504
398.58	34.3686
398.71	27.9576
398.84	27.6232
398.98	28.2846
399.11	34.6615
399.24	30.0794
399.37	30.5125
399.51	36.1292
399.64	37.5805
399.77	35.0193
399.90	39.9719
400.03	29.9172
400.17	24.1153
400.30	26.6770
400.43	27.1655
400.56	20.6495
400.70	36.0589
400.83	41.8363
400.96	42.0386
401.09	34.5093
401.23	35.6512
401.36	28.9708
401.49	28.4594
401.62	31.6289
401.75	40.5565
401.89	34.9261
402.02	34.2648
402.15	35.3221
402.28	37.2449
402.41	39.7866
402.55	31.3930
402.68	29.0158
402.81	35.6927
402.94	38.5449
403.08	30.2568
403.21	36.1774
403.34	47.3364
403.47	38.7670
403.60	27.8048
403.74	35.9295
403.87	39.7633
404.00	38.5370
404.13	45.3138
404.26	43.7769
404.40	39.5911
404.53	45.6308
404.66	33.0800
404.79	27.7923
404.93	42.3199
405.06	41.1068
405.19	31.9649
405.32	36.1182
405.45	43.8163
405.59	45.6511
405.72	23.8927
405.85	34.6159
405.98	45.8141
406.11	40.3403
406.25	24.5559
406.38	46.2951
406.51	44.2533
406.64	40.5076
406.77	36.2270
406.91	43.9430
407.04	45.8657
407.17	44.5714
407.30	32.9983
407.43	31.8544
407.57	37.7379
407.70	39.3688
407.83	41.9680
407.96	39.2864
408.09	49.9895
408.23	51.7735
408.36	35.8301
408.49	31.3268
408.62	50.3531
408.75	44.8516
408.89	39.7542
409.02	46.6563
409.15	46.7867
409.28	50.0940
409.41	38.3983
409.55	38.0651
409.68	53.3853
409.81	51.3199
