Wavelength (nm)	Reflectance (%)
377.35	200.0000
377.48	200.0000
377.62	0.0000
377.75	0.0000
377.88	200.0000
378.02	200.0000
378.15	200.0000
378.28	200.0000
378.41	200.0000
378.55	200.0000
378.68	200.0000
378.81	200.0000
378.95	200.0000
379.08	200.0000
379.21	200.0000
379.35	200.0000
379.48	200.0000
379.61	200.0000
379.74	200.0000
379.88	200.0000
380.01	200.0000
380.14	200.0000
380.28	200.0000
380.41	200.0000
380.54	200.0000
380.68	200.0000
380.81	200.0000
380.94	200.0000
381.07	200.0000
381.21	200.0000
381.34	200.0000
381.47	197.2921
381.61	200.0000
381.74	200.0000
381.87	200.0000
382.00	200.0000
382.14	200.0000
382.27	200.0000
382.40	200.0000
382.54	200.0000
382.67	200.0000
382.80	200.0000
382.93	200.0000
383.07	200.0000
383.20	200.0000
383.33	200.0000
383.47	200.0000
383.60	200.0000
383.73	200.0000
383.86	200.0000
384.00	200.0000
384.13	200.0000
384.26	200.0000
384.40	200.0000
384.53	200.0000
384.66	200.0000
384.79	200.0000
384.93	200.0000
385.06	200.0000
385.19	200.0000
385.33	200.0000
385.46	200.0000
385.59	200.0000
385.72	200.0000
385.86	200.0000
385.99	200.0000
386.12	200.0000
386.25	200.0000
386.39	200.0000
386.52	200.0000
386.65	200.0000
386.79	200.0000
386.92	200.0000
387.05	200.0000
387.18	200.0000
387.32	200.0000
387.45	200.0000
387.58	200.0000
387.71	200.0000
387.85	200.0000
387.98	200.0000
388.11	200.0000
388.25	200.0000
388.38	200.0000
388.51	200.0000
388.64	200.0000
388.78	200.0000
388.91	200.0000
389.04	200.0000
389.17	200.0000
389.31	200.0000
389.44	200.0000
389.57	200.0000
389.70	200.0000
389.84	200.0000
389.97	200.0000
390.10	200.0000
390.24	200.0000
390.37	200.0000
390.50	200.0000
390.63	200.0000
390.77	200.0000
390.90	200.0000
391.03	200.0000
391.16	200.0000
391.30	200.0000
391.43	200.0000
391.56	200.0000
391.69	200.0000
391.83	200.0000
391.96	200.0000
392.09	200.0000
392.22	200.0000
392.36	200.0000
392.49	200.0000
392.62	200.0000
392.75	200.0000
392.89	200.0000
393.02	200.0000
393.15	200.0000
393.28	200.0000
393.42	200.0000
393.55	200.0000
393.68	200.0000
393.81	200.0000
393.95	200.0000
394.08	200.0000
394.21	200.0000
394.34	200.0000
394.48	200.0000
394.61	200.0000
394.74	200.0000
394.87	200.0000
395.01	200.0000
395.14	200.0000
395.27	200.0000
395.40	200.0000
395.54	200.0000
395.67	200.0000
395.80	200.0000
395.93	200.0000
396.07	200.0000
396.20	200.0000
396.33	200.0000
396.46	200.0000
396.59	200.0000
396.73	200.0000
