Wavelength (nm)	Intensity
377.35	804.00
377.48	581.80
377.62	593.40
377.75	614.00
377.88	810.80
378.02	797.20
378.15	800.60
378.28	775.60
378.41	829.20
378.55	804.60
378.68	797.20
378.81	778.00
378.95	802.60
379.08	778.20
379.21	757.20
379.35	819.40
379.48	822.80
379.61	876.20
379.74	800.60
379.88	783.60
380.01	853.20
380.14	903.60
380.28	835.60
380.41	768.40
380.54	812.80
380.68	816.60
380.81	741.40
380.94	822.00
381.07	865.40
381.21	865.80
381.34	794.40
381.47	747.40
381.61	932.00
381.74	802.40
381.87	774.60
382.00	816.80
382.14	882.80
382.27	839.00
382.40	771.20
382.54	864.00
382.67	861.00
382.80	770.00
382.93	775.40
383.07	802.80
383.20	801.60
383.33	833.60
383.47	774.00
383.60	755.20
383.73	935.40
383.86	827.40
384.00	800.20
384.13	789.00
384.26	834.80
384.40	843.20
384.53	806.40
384.66	855.20
384.79	822.40
384.93	779.40
385.06	796.00
385.19	816.60
385.33	911.00
385.46	827.40
385.59	777.60
385.72	819.60
385.86	762.00
385.99	780.40
386.12	796.60
386.25	773.20
386.39	835.80
386.52	853.40
386.65	790.80
386.79	798.80
386.92	787.20
387.05	879.40
387.18	756.00
387.32	777.00
387.45	828.40
387.58	805.40
387.71	790.00
387.85	784.20
387.98	814.60
388.11	822.40
388.25	819.80
388.38	797.80
388.51	835.00
388.64	840.80
388.78	790.20
388.91	759.40
389.04	794.60
389.17	903.00
389.31	814.80
389.44	841.40
389.57	865.60
389.70	826.60
389.84	787.00
389.97	786.00
390.10	781.40
390.24	820.00
390.37	800.60
390.50	783.40
390.63	864.60
390.77	803.00
390.90	812.80
391.03	804.40
391.16	754.20
391.30	776.40
391.43	794.40
391.56	791.80
391.69	767.40
391.83	851.80
391.96	805.60
392.09	785.80
392.22	879.80
392.36	815.80
392.49	779.20
392.62	794.40
392.75	823.40
392.89	851.80
393.02	772.20
393.15	774.00
393.28	758.20
393.42	881.00
393.55	757.20
393.68	784.40
393.81	735.40
393.95	784.00
394.08	780.20
394.21	781.60
394.34	830.80
394.48	829.40
394.61	833.20
394.74	823.80
394.87	836.60
395.01	822.40
395.14	826.20
395.27	792.00
395.40	889.40
395.54	888.00
