Wavelength (nm)	Intensity
377.35	815.00
377.48	598.67
377.62	635.33
377.75	634.33
377.88	853.67
378.02	834.00
378.15	826.33
378.28	802.33
378.41	893.67
378.55	855.33
378.68	824.67
378.81	808.00
378.95	842.00
379.08	842.67
379.21	806.33
379.35	856.00
379.48	873.33
379.61	917.67
379.74	832.33
379.88	819.67
380.01	902.67
380.14	977.33
380.28	883.33
380.41	800.67
380.54	864.33
380.68	865.33
380.81	774.33
380.94	872.67
381.07	929.33
381.21	919.00
381.34	833.33
381.47	780.67
381.61	995.67
381.74	852.67
381.87	798.00
382.00	856.67
382.14	938.33
382.27	890.67
382.40	811.00
382.54	901.67
382.67	925.33
382.80	814.00
382.93	803.67
383.07	837.67
383.20	842.67
383.33	874.00
383.47	807.33
383.60	796.67
383.73	1001.00
383.86	885.33
384.00	832.33
384.13	826.33
384.26	883.67
384.40	901.33
384.53	837.33
384.66	873.00
384.79	859.00
384.93	828.00
385.06	830.00
385.19	848.67
385.33	970.67
385.46	875.33
385.59	814.67
385.72	849.00
385.86	808.67
385.99	828.00
386.12	828.33
386.25	807.00
386.39	888.00
386.52	903.33
386.65	841.67
386.79	818.33
386.92	838.00
387.05	932.00
387.18	794.00
387.32	801.33
387.45	886.67
387.58	849.67
387.71	832.33
387.85	816.67
387.98	857.33
388.11	877.00
388.25	856.67
388.38	839.00
388.51	871.67
388.64	893.33
388.78	814.33
388.91	792.33
389.04	846.00
389.17	967.33
389.31	855.67
389.44	874.33
389.57	913.33
389.70	877.33
389.84	820.00
389.97	807.67
390.10	829.00
390.24	891.00
390.37	826.33
390.50	812.67
390.63	913.67
390.77	854.33
390.90	843.00
391.03	830.33
391.16	802.67
391.30	828.00
391.43	822.33
391.56	816.67
391.69	816.33
391.83	905.00
391.96	840.33
392.09	817.67
392.22	943.33
392.36	872.00
392.49	808.00
392.62	838.33
392.75	876.33
392.89	918.00
393.02	806.00
393.15	802.33
393.28	794.00
393.42	946.67
393.55	800.33
393.68	826.00
393.81	776.00
393.95	834.33
394.08	809.67
394.21	815.00
394.34	898.00
394.48	884.33
394.61	881.00
394.74	843.67
394.87	904.33
395.01	873.33
395.14	871.33
395.27	809.33
395.40	955.00
395.54	947.67
395.67	851.00
395.80	825.00
395.93	875.00
396.07	821.33
396.20	822.00
396.33	765.33
396.46	819.33
396.59	857.00
396.73	832.67
396.86	800.67
396.99	906.33
397.12	866.67
397.26	850.00
397.39	837.00
397.52	1170.67
397.65	957.67
397.79	838.33
397.92	828.33
398.05	899.67
398.18	833.33
398.32	836.00
398.45	869.67
398.58	874.00
398.71	879.33
398.84	798.67
398.98	829.00
399.11	885.00
399.24	876.33
399.37	831.00
399.51	800.00
399.64	857.33
399.77	857.00
399.90	839.00
400.03	828.33
400.17	797.67
400.30	910.33
400.43	864.67
400.56	838.33
400.70	848.33
400.83	814.00
400.96	813.67
401.09	843.67
401.23	858.00
401.36	925.00
401.49	818.00
401.62	830.33
401.75	842.67
401.89	818.67
402.02	836.00
402.15	840.67
402.28	868.33
402.41	877.67
402.55	815.33
402.68	826.00
402.81	913.67
402.94	889.33
403.08	811.33
403.21	798.33
403.34	888.67
403.47	885.00
403.60	822.67
403.74	869.33
403.87	903.67
404.00	823.00
404.13	816.00
404.26	792.00
404.40	810.33
404.53	872.67
404.66	829.67
404.79	794.00
404.93	882.33
405.06	856.33
405.19	791.00
405.32	840.67
405.45	871.33
405.59	893.33
405.72	844.67
405.85	808.33
405.98	1022.67
406.11	822.33
406.25	803.00
406.38	819.67
406.51	875.00
406.64	840.67
406.77	793.67
406.91	789.00
407.04	868.67
407.17	847.00
407.30	856.00
407.43	824.67
407.57	925.67
407.70	909.00
407.83	813.67
407.96	838.00
408.09	804.33
408.23	946.33
408.36	837.00
408.49	820.67
408.62	965.33
408.75	866.33
408.89	822.00
409.02	861.00
409.15	857.67
409.28	929.67
409.41	859.33
409.55	816.33
409.68	972.67
409.81	865.67
409.94	818.67
410.07	845.67
410.20	870.00
410.34	838.67
410.47	845.00
410.60	840.67
410.73	885.67
410.86	827.67
411.00	851.00
411.13	811.00
411.26	859.33
411.39	865.67
411.52	871.67
411.66	821.33
411.79	830.33
411.92	820.67
412.05	830.33
412.18	823.67
412.31	874.67
412.45	878.33
412.58	879.67
412.71	795.00
412.84	859.67
412.97	935.67
413.11	850.00
413.24	851.33
413.37	890.00
413.50	960.00
413.63	860.33
413.76	820.33
413.90	896.00
414.03	833.67
414.16	826.00
414.29	860.00
414.42	857.00
414.56	975.00
414.69	827.67
414.82	832.67
414.95	844.33
415.08	869.00
415.21	830.67
415.35	861.00
415.48	769.33
415.61	898.00
415.74	893.00
415.87	793.33
416.00	874.00
416.14	984.33
416.27	849.00
416.40	813.00
416.53	848.00
416.66	884.67
416.79	848.00
416.93	805.67
417.06	918.33
417.19	862.00
417.32	824.33
417.45	823.33
417.58	799.67
417.72	909.67
417.85	818.00
417.98	842.67
418.11	887.67
418.24	838.67
418.37	824.33
418.51	838.00
418.64	859.33
418.77	933.00
418.90	853.33
419.03	795.67
419.16	871.67
419.29	902.67
419.43	817.33
419.56	805.67
419.69	968.33
419.82	900.67
419.95	829.33
420.08	881.67
420.22	927.67
420.35	991.00
420.48	878.33
420.61	820.33
420.74	787.67
420.87	886.33
421.00	812.00
421.14	825.00
421.27	891.00
421.40	939.00
421.53	859.00
421.66	838.67
421.79	844.33
421.93	846.33
422.06	828.33
422.19	807.00
422.32	892.33
422.45	907.67
422.58	862.00
422.71	826.00
422.85	900.00
422.98	897.33
423.11	796.00
423.24	789.00
423.37	813.00
423.50	825.33
423.63	856.67
423.77	805.33
423.90	819.67
424.03	873.33
424.16	868.67
424.29	845.33
424.42	788.33
424.55	816.00
424.69	816.00
424.82	839.33
424.95	870.33
425.08	822.33
425.21	862.33
425.34	824.00
425.47	850.33
425.60	881.67
425.74	787.67
425.87	843.67
426.00	845.67
426.13	870.00
426.26	806.00
426.39	812.67
426.52	845.67
426.66	925.67
426.79	873.00
426.92	823.00
427.05	954.00
427.18	915.00
427.31	833.33
427.44	826.33
427.57	813.00
427.71	850.33
427.84	805.33
427.97	834.00
428.10	915.33
428.23	858.67
428.36	827.67
428.49	759.00
428.62	983.00
428.76	948.33
428.89	856.00
429.02	801.67
429.15	855.00
429.28	955.67
429.41	819.00
429.54	829.67
429.67	827.00
429.81	886.00
429.94	838.33
430.07	817.33
430.20	900.00
430.33	931.00
430.46	823.00
430.59	813.00
430.72	852.00
430.85	799.00
430.99	831.00
431.12	810.67
431.25	904.67
431.38	927.33
431.51	844.67
431.64	845.33
431.77	931.00
431.90	935.67
432.03	840.67
432.17	814.67
432.30	859.33
432.43	885.00
432.56	838.33
432.69	866.67
432.82	861.00
432.95	926.33
433.08	848.67
433.21	842.67
433.35	837.67
433.48	856.67
433.61	802.67
433.74	837.33
433.87	819.67
434.00	890.33
434.13	819.67
434.26	870.00
434.39	877.00
434.53	892.33
434.66	841.67
434.79	841.67
434.92	838.67
435.05	920.00
435.18	818.33
435.31	855.67
435.44	922.00
435.57	865.00
435.70	841.00
435.84	807.33
435.97	921.33
436.10	965.67
436.23	825.33
436.36	812.33
436.49	843.00
436.62	877.00
436.75	827.67
436.88	868.00
437.01	835.00
437.14	807.00
437.28	787.67
437.41	816.67
437.54	919.33
437.67	898.33
437.80	823.00
437.93	790.33
438.06	986.33
438.19	902.33
438.32	810.00
438.45	816.00
438.58	886.00
438.72	943.67
438.85	888.67
438.98	832.67
439.11	884.33
439.24	939.00
439.37	908.00
439.50	862.00
439.63	904.67
439.76	836.00
439.89	815.67
440.02	820.67
440.15	874.67
440.29	933.67
440.42	849.00
440.55	851.67
440.68	944.33
440.81	994.67
440.94	860.67
441.07	844.00
441.20	970.00
441.33	879.67
441.46	828.67
441.59	815.67
441.72	850.67
441.85	873.00
441.99	887.33
442.12	885.67
442.25	952.67
442.38	880.00
442.51	865.33
442.64	809.00
442.77	867.00
442.90	844.67
443.03	804.33
443.16	822.00
443.29	864.67
443.42	936.67
443.55	830.00
443.68	854.33
443.82	792.33
443.95	835.67
444.08	841.00
444.21	838.00
444.34	823.00
444.47	853.33
444.60	847.00
444.73	858.33
