Wavelength (nm)	Intensity
377.35	824.33
377.48	582.00
377.62	613.67
377.75	613.00
377.88	811.33
378.02	790.67
378.15	802.00
378.28	774.00
378.41	834.67
378.55	802.33
378.68	794.33
378.81	778.67
378.95	796.00
379.08	783.33
379.21	757.33
379.35	813.67
379.48	808.67
379.61	890.00
379.74	835.33
379.88	802.00
380.01	874.00
380.14	933.00
380.28	877.33
380.41	799.00
380.54	843.33
380.68	850.33
380.81	771.00
380.94	873.67
381.07	902.00
381.21	897.33
381.34	820.33
381.47	774.00
381.61	965.00
381.74	843.33
381.87	807.33
382.00	852.33
382.14	918.33
382.27	866.33
382.40	797.67
382.54	891.00
382.67	890.67
382.80	804.67
382.93	822.67
383.07	833.33
383.20	845.67
383.33	873.67
383.47	824.67
383.60	792.67
383.73	976.00
383.86	862.67
384.00	833.33
384.13	830.33
384.26	867.67
384.40	890.33
384.53	834.67
384.66	894.67
384.79	854.33
384.93	831.00
385.06	835.33
385.19	860.67
385.33	952.33
385.46	873.00
385.59	827.00
385.72	856.33
385.86	806.67
385.99	838.33
386.12	840.00
386.25	816.67
386.39	885.33
386.52	897.67
386.65	839.00
386.79	840.33
386.92	838.67
387.05	921.00
387.18	798.33
387.32	820.33
387.45	870.67
387.58	851.00
387.71	837.00
387.85	830.67
387.98	856.33
388.11	867.33
388.25	863.67
388.38	848.33
388.51	877.67
388.64	890.33
388.78	829.00
388.91	809.00
389.04	848.00
389.17	938.33
389.31	866.00
389.44	886.33
389.57	908.33
389.70	878.33
389.84	834.00
389.97	835.67
390.10	841.67
390.24	880.33
390.37	846.33
390.50	843.00
390.63	917.67
390.77	846.33
390.90	853.67
391.03	850.00
391.16	814.33
391.30	830.00
391.43	846.33
391.56	853.00
391.69	823.00
391.83	912.33
391.96	857.67
392.09	845.33
392.22	935.00
392.36	866.00
392.49	828.00
392.62	858.00
392.75	880.67
392.89	911.00
393.02	832.00
393.15	836.67
393.28	806.00
393.42	947.67
393.55	818.67
393.68	843.00
393.81	802.33
393.95	857.00
394.08	850.67
394.21	848.33
394.34	899.00
394.48	890.33
394.61	897.33
394.74	885.67
394.87	914.00
395.01	885.67
395.14	897.67
395.27	857.33
395.40	971.67
395.54	953.33
395.67	868.67
395.80	861.67
395.93	892.00
396.07	859.00
396.20	844.67
396.33	805.67
396.46	852.33
396.59	869.00
396.73	863.00
396.86	839.67
396.99	917.67
397.12	875.00
397.26	896.67
397.39	864.67
397.52	1151.33
397.65	980.00
397.79	882.00
397.92	865.67
398.05	915.33
398.18	853.67
398.32	872.67
398.45	909.33
398.58	897.00
398.71	901.00
398.84	843.67
398.98	879.67
399.11	915.00
399.24	897.33
399.37	865.33
399.51	841.67
399.64	883.67
399.77	887.00
399.90	879.67
400.03	886.33
400.17	838.67
400.30	940.67
400.43	920.33
400.56	888.33
400.70	873.33
400.83	865.00
400.96	860.33
401.09	893.67
401.23	887.33
401.36	944.67
401.49	876.00
401.62	901.67
401.75	878.67
401.89	850.00
402.02	872.33
402.15	886.33
402.28	903.00
402.41	901.33
402.55	883.67
402.68	891.00
402.81	956.67
402.94	924.67
403.08	879.00
403.21	855.00
403.34	918.33
403.47	920.33
403.60	890.00
403.74	930.00
403.87	936.00
404.00	877.33
404.13	874.33
404.26	865.67
404.40	868.67
404.53	898.00
404.66	887.33
404.79	867.67
404.93	921.67
405.06	913.33
405.19	862.00
405.32	906.33
405.45	918.00
405.59	939.00
405.72	912.67
405.85	879.00
405.98	1054.33
406.11	874.67
406.25	873.67
406.38	888.00
406.51	939.67
406.64	902.33
406.77	860.00
406.91	867.33
407.04	921.67
407.17	901.00
407.30	925.33
407.43	905.33
407.57	983.33
407.70	956.67
407.83	886.67
407.96	916.00
408.09	873.00
408.23	991.00
408.36	914.67
408.49	907.00
408.62	1022.00
408.75	918.00
408.89	898.33
409.02	927.00
409.15	921.67
409.28	998.67
409.41	942.67
409.55	904.67
409.68	1035.33
409.81	940.00
409.94	892.00
410.07	925.67
410.20	935.33
410.34	913.33
410.47	922.33
410.60	923.33
410.73	954.67
410.86	898.67
411.00	935.67
411.13	905.67
411.26	937.33
411.39	934.67
411.52	954.00
411.66	928.00
411.79	914.00
411.92	908.00
412.05	921.33
412.18	919.67
412.31	949.67
412.45	956.00
412.58	963.00
412.71	895.67
412.84	950.33
412.97	999.33
413.11	935.67
413.24	940.67
413.37	979.67
413.50	1028.00
413.63	961.00
413.76	923.00
413.90	967.33
414.03	916.67
414.16	927.67
414.29	962.67
414.42	943.33
414.56	1038.67
414.69	923.00
414.82	937.33
414.95	932.00
415.08	957.67
415.21	951.33
415.35	953.67
415.48	870.33
415.61	990.67
415.74	984.67
415.87	907.00
416.00	951.67
416.14	1049.00
416.27	960.67
416.40	918.33
416.53	944.33
416.66	970.00
416.79	951.00
416.93	922.33
417.06	995.00
417.19	948.00
417.32	949.67
417.45	939.67
417.58	903.33
417.72	996.33
417.85	937.67
417.98	947.00
418.11	985.67
418.24	933.00
418.37	940.33
418.51	957.33
418.64	969.33
418.77	1034.00
418.90	977.33
419.03	931.33
419.16	968.67
419.29	1000.33
419.43	935.33
419.56	922.00
419.69	1061.00
419.82	1010.67
419.95	961.67
420.08	999.00
420.22	1021.00
420.35	1080.00
420.48	1000.33
420.61	968.00
420.74	917.67
420.87	1008.33
421.00	933.00
421.14	953.67
421.27	998.00
421.40	1039.67
421.53	987.67
421.66	970.00
421.79	973.33
421.93	975.00
422.06	982.00
422.19	963.67
422.32	1014.00
422.45	1009.67
422.58	981.67
422.71	960.67
422.85	1019.67
422.98	1014.67
423.11	928.67
423.24	937.67
423.37	943.00
423.50	952.67
423.63	991.67
423.77	963.33
423.90	960.33
424.03	1012.00
424.16	1013.67
424.29	986.67
424.42	934.33
424.55	963.33
424.69	955.00
424.82	993.33
424.95	994.33
425.08	964.33
425.21	1012.33
425.34	973.33
425.47	989.33
425.60	1005.67
425.74	944.00
425.87	966.33
426.00	986.67
426.13	1000.67
426.26	963.33
426.39	967.67
426.52	992.00
426.66	1069.33
426.79	1027.00
426.92	966.67
427.05	1089.33
427.18	1068.33
427.31	981.00
427.44	990.33
