Wavelength (nm)	Intensity
377.35	801.14
377.48	599.14
377.62	621.00
377.75	613.14
377.88	810.14
378.02	796.71
378.15	806.43
378.28	774.71
378.41	836.71
378.55	815.71
378.68	804.00
378.81	780.29
378.95	805.86
379.08	786.71
379.21	762.29
379.35	824.43
379.48	822.00
379.61	877.29
379.74	804.57
379.88	785.00
380.01	856.14
380.14	907.14
380.28	844.43
380.41	774.86
380.54	815.29
380.68	824.57
380.81	743.86
380.94	833.71
381.07	864.43
381.21	874.71
381.34	801.57
381.47	743.71
381.61	930.29
381.74	804.14
381.87	765.14
382.00	819.86
382.14	889.29
382.27	830.57
382.40	772.14
382.54	866.14
382.67	857.86
382.80	773.43
382.93	777.00
383.07	801.43
383.20	800.86
383.33	831.57
383.47	789.86
383.60	764.00
383.73	944.43
383.86	830.29
384.00	792.00
384.13	796.14
384.26	830.86
384.40	854.00
384.53	810.00
384.66	841.71
384.79	814.86
384.93	793.43
385.06	793.71
385.19	820.71
385.33	918.43
385.46	831.71
385.59	786.86
385.72	832.43
385.86	769.86
385.99	792.86
386.12	794.86
386.25	776.14
386.39	839.57
386.52	862.71
386.65	807.86
386.79	800.00
386.92	791.14
387.05	885.29
387.18	765.43
387.32	771.86
387.45	834.86
387.58	813.43
387.71	794.14
387.85	782.00
387.98	813.43
388.11	832.43
388.25	817.86
388.38	812.86
388.51	846.29
388.64	843.71
388.78	790.00
388.91	767.14
389.04	802.57
389.17	908.00
389.31	818.57
389.44	832.00
389.57	870.57
389.70	833.71
389.84	791.43
389.97	786.29
390.10	788.86
390.24	828.43
390.37	799.00
390.50	789.43
390.63	872.57
390.77	811.29
390.90	812.71
391.03	808.43
391.16	759.71
391.30	790.29
391.43	791.29
391.56	790.71
391.69	777.29
391.83	849.71
391.96	809.43
392.09	795.71
392.22	890.71
392.36	823.14
392.49	776.86
392.62	796.43
392.75	833.71
392.89	860.86
393.02	769.29
393.15	771.86
393.28	765.86
393.42	883.71
393.55	762.14
393.68	787.00
393.81	742.57
393.95	791.14
394.08	784.43
394.21	785.86
394.34	836.71
394.48	826.29
394.61	838.86
394.74	818.43
394.87	847.43
395.01	825.43
395.14	831.29
395.27	781.14
395.40	895.00
395.54	893.86
395.67	805.14
395.80	796.43
395.93	835.00
396.07	781.43
396.20	781.00
396.33	738.29
396.46	788.29
396.59	800.86
396.73	800.29
396.86	773.86
396.99	853.00
397.12	817.29
397.26	811.57
397.39	802.00
397.52	1082.86
397.65	901.57
397.79	803.86
397.92	792.43
398.05	851.86
398.18	788.86
398.32	793.86
398.45	825.57
398.58	825.14
398.71	828.43
398.84	766.29
398.98	799.14
399.11	829.29
399.24	830.43
399.37	789.57
399.51	777.57
399.64	798.00
399.77	807.43
399.90	807.14
400.03	807.86
400.17	765.71
400.30	866.29
400.43	835.00
400.56	808.29
400.70	808.14
400.83	782.71
400.96	778.14
401.09	814.71
401.23	814.43
401.36	867.14
401.49	791.71
401.62	810.29
401.75	795.71
401.89	777.00
402.02	791.57
402.15	807.86
402.28	822.43
402.41	818.00
402.55	783.71
402.68	802.29
402.81	877.57
402.94	842.71
403.08	787.57
403.21	766.43
403.34	841.71
403.47	840.14
403.60	795.57
403.74	824.29
403.87	838.57
404.00	776.29
404.13	783.00
404.26	756.71
404.40	768.14
404.53	812.43
404.66	798.86
404.79	771.71
404.93	836.71
405.06	789.86
405.19	749.00
405.32	813.57
405.45	825.29
405.59	841.00
405.72	809.43
405.85	773.86
405.98	963.43
406.11	775.71
406.25	776.43
406.38	796.71
406.51	830.00
406.64	804.86
406.77	767.86
406.91	758.14
407.04	821.00
407.17	790.14
407.30	821.86
407.43	802.57
407.57	876.71
407.70	856.57
407.83	772.14
407.96	806.14
408.09	770.29
408.23	888.14
408.36	801.43
408.49	797.00
408.62	919.86
408.75	812.43
408.89	774.57
409.02	819.86
409.15	807.86
409.28	880.57
409.41	832.00
409.55	792.71
409.68	913.29
409.81	820.29
409.94	778.86
410.07	811.14
410.20	806.00
410.34	797.71
410.47	802.71
410.60	817.00
410.73	834.00
410.86	777.43
411.00	806.71
411.13	779.29
411.26	810.43
411.39	805.57
411.52	822.57
411.66	795.43
411.79	785.43
411.92	777.71
412.05	801.29
412.18	792.86
412.31	821.43
412.45	836.86
412.58	838.00
412.71	765.71
412.84	819.29
412.97	884.14
413.11	813.57
413.24	812.43
413.37	847.71
413.50	905.29
413.63	823.57
413.76	791.71
413.90	834.86
414.03	788.57
414.16	791.86
414.29	828.29
414.42	808.29
414.56	909.00
414.69	791.00
414.82	800.14
414.95	804.57
415.08	830.00
415.21	803.86
415.35	825.14
415.48	734.14
415.61	848.71
415.74	853.29
415.87	765.00
416.00	819.29
416.14	919.86
416.27	815.71
416.40	779.00
416.53	800.14
416.66	832.14
416.79	813.86
416.93	775.71
417.06	855.71
417.19	816.29
417.32	803.29
417.45	793.00
417.58	762.71
417.72	852.57
417.85	790.00
417.98	799.71
418.11	847.29
418.24	785.57
418.37	792.71
418.51	809.57
418.64	813.29
418.77	883.00
418.90	822.29
419.03	767.43
419.16	818.29
419.29	847.57
419.43	787.86
419.56	775.43
419.69	907.43
419.82	854.00
419.95	801.57
420.08	846.14
420.22	875.86
420.35	932.00
420.48	844.14
420.61	801.29
420.74	750.14
420.87	837.86
421.00	770.71
421.14	793.57
421.27	835.86
421.40	877.43
421.53	830.29
421.66	806.00
421.79	797.14
421.93	800.57
422.06	802.00
422.19	785.43
422.32	845.29
422.45	852.43
422.58	816.43
422.71	794.71
422.85	847.86
422.98	846.43
423.11	761.43
423.24	758.00
423.37	769.86
423.50	777.14
423.63	802.14
423.77	785.86
423.90	780.43
424.03	829.86
424.16	829.86
424.29	802.43
424.42	755.86
424.55	772.71
424.69	775.00
424.82	809.14
424.95	821.29
425.08	781.71
425.21	827.00
425.34	787.86
425.47	801.14
425.60	817.43
425.74	760.43
425.87	789.71
426.00	796.71
426.13	808.71
426.26	774.00
426.39	776.14
426.52	792.00
426.66	865.43
426.79	831.14
426.92	781.00
427.05	894.57
427.18	875.57
427.31	799.57
427.44	801.14
427.57	776.00
427.71	802.86
427.84	771.43
427.97	801.86
428.10	857.29
428.23	814.14
428.36	785.14
428.49	718.00
428.62	928.71
428.76	902.14
428.89	817.14
429.02	755.57
429.15	799.86
429.28	894.29
429.41	785.86
429.54	801.71
429.67	786.00
429.81	838.14
429.94	804.57
430.07	781.43
430.20	847.86
430.33	866.29
430.46	768.71
430.59	775.43
430.72	801.71
430.85	753.86
430.99	798.43
431.12	769.86
431.25	855.86
431.38	876.00
431.51	807.14
431.64	807.86
431.77	882.29
431.90	875.00
432.03	804.57
432.17	771.00
432.30	811.71
432.43	822.43
432.56	804.14
432.69	828.86
432.82	814.71
432.95	863.29
433.08	806.57
433.21	803.86
433.35	792.14
433.48	804.57
433.61	773.43
433.74	799.71
433.87	777.14
434.00	836.14
434.13	777.86
434.26	828.29
434.39	819.14
434.53	832.57
434.66	801.86
434.79	798.00
434.92	799.14
435.05	865.86
435.18	781.57
435.31	824.57
435.44	865.29
435.57	815.57
435.70	792.14
435.84	778.86
435.97	875.14
436.10	904.71
436.23	788.29
436.36	773.14
436.49	784.86
436.62	825.57
436.75	799.71
436.88	828.71
437.01	787.43
437.14	766.71
437.28	752.29
437.41	784.86
437.54	860.57
437.67	837.86
437.80	781.14
437.93	758.29
438.06	916.00
438.19	847.71
438.32	769.57
438.45	776.14
438.58	826.14
438.72	877.43
438.85	837.14
438.98	803.29
439.11	824.57
439.24	875.14
439.37	863.14
439.50	837.43
439.63	856.29
439.76	786.86
439.89	781.57
440.02	785.57
440.15	827.43
440.29	868.71
440.42	811.43
440.55	796.71
440.68	876.57
440.81	926.57
440.94	813.57
441.07	804.29
441.20	901.29
441.33	827.86
441.46	795.43
441.59	784.57
441.72	803.57
441.85	817.00
441.99	844.14
442.12	845.71
442.25	895.00
442.38	831.00
442.51	827.57
442.64	765.14
442.77	811.43
442.90	794.86
443.03	764.43
443.16	788.29
443.29	814.00
443.42	875.43
443.55	788.86
443.68	807.57
443.82	765.43
443.95	789.14
444.08	789.71
444.21	805.29
444.34	780.86
444.47	806.00
444.60	800.86
444.73	822.14
444.86	807.57
444.99	867.00
445.12	825.00
445.25	813.14
445.38	812.00
445.51	851.14
445.64	810.43
445.78	786.43
445.91	753.86
446.04	913.14
446.17	852.71
446.30	755.14
446.43	830.14
446.56	814.43
446.69	779.86
446.82	789.00
446.95	846.29
447.08	869.43
447.21	816.29
447.34	796.29
447.47	851.43
447.60	840.71
447.73	814.14
447.86	840.71
447.99	808.71
448.13	819.57
448.26	836.43
448.39	804.86
448.52	838.71
448.65	845.00
448.78	803.00
448.91	799.00
449.04	837.14
449.17	790.86
449.30	831.86
449.43	816.00
449.56	800.29
449.69	862.71
449.82	806.00
449.95	763.43
450.08	860.71
450.21	836.00
450.34	810.71
450.47	795.29
450.60	839.43
450.73	812.86
450.87	794.14
451.00	822.43
451.13	840.43
451.26	949.57
451.39	787.43
451.52	820.29
451.65	801.29
451.78	797.14
451.91	785.14
452.04	780.14
452.17	895.86
452.30	880.14
452.43	788.71
452.56	787.43
452.69	853.86
452.82	773.57
452.95	841.29
453.08	772.14
453.21	736.43
453.34	844.71
453.47	783.86
453.60	849.43
453.73	904.14
453.86	841.71
453.99	831.00
454.12	825.00
454.25	801.14
454.38	824.57
454.52	769.57
454.65	794.43
454.78	783.71
454.91	755.57
455.04	783.71
