Wavelength (nm)	Intensity
377.35	811.00
377.48	601.00
377.62	621.00
377.75	613.00
377.88	809.00
378.02	774.00
378.15	797.00
378.28	780.00
378.41	861.00
378.55	825.00
378.68	801.00
378.81	774.00
378.95	805.00
379.08	801.00
379.21	755.00
379.35	825.00
379.48	814.00
379.61	899.00
379.74	824.00
379.88	807.00
380.01	881.00
380.14	942.00
380.28	876.00
380.41	796.00
380.54	846.00
380.68	842.00
380.81	782.00
380.94	863.00
381.07	893.00
381.21	892.00
381.34	831.00
381.47	759.00
381.61	955.00
381.74	837.00
381.87	784.00
382.00	844.00
382.14	920.00
382.27	867.00
382.40	795.00
382.54	885.00
382.67	897.00
382.80	796.00
382.93	817.00
383.07	830.00
383.20	830.00
383.33	867.00
383.47	801.00
383.60	787.00
383.73	968.00
383.86	862.00
384.00	825.00
384.13	825.00
384.26	872.00
384.40	898.00
384.53	838.00
384.66	881.00
384.79	861.00
384.93	821.00
385.06	842.00
385.19	852.00
385.33	962.00
385.46	853.00
385.59	806.00
385.72	854.00
385.86	797.00
385.99	824.00
386.12	841.00
386.25	811.00
386.39	890.00
386.52	902.00
386.65	827.00
386.79	833.00
386.92	812.00
387.05	904.00
387.18	786.00
387.32	819.00
387.45	872.00
387.58	858.00
387.71	838.00
387.85	824.00
387.98	857.00
388.11	875.00
388.25	851.00
388.38	827.00
388.51	880.00
388.64	900.00
388.78	822.00
388.91	814.00
389.04	830.00
389.17	946.00
389.31	841.00
389.44	879.00
389.57	887.00
389.70	859.00
389.84	826.00
389.97	839.00
390.10	830.00
390.24	873.00
390.37	838.00
390.50	833.00
390.63	909.00
390.77	843.00
390.90	853.00
391.03	858.00
391.16	804.00
391.30	835.00
391.43	836.00
391.56	832.00
391.69	818.00
391.83	898.00
391.96	858.00
392.09	825.00
392.22	935.00
392.36	872.00
392.49	817.00
392.62	843.00
392.75	861.00
392.89	906.00
393.02	803.00
393.15	809.00
393.28	797.00
393.42	937.00
393.55	804.00
393.68	829.00
393.81	786.00
393.95	830.00
394.08	835.00
394.21	834.00
394.34	900.00
394.48	892.00
394.61	898.00
394.74	876.00
394.87	894.00
395.01	880.00
395.14	893.00
395.27	833.00
395.40	949.00
395.54	954.00
395.67	866.00
395.80	844.00
395.93	884.00
396.07	833.00
396.20	821.00
396.33	766.00
396.46	841.00
396.59	864.00
396.73	840.00
396.86	817.00
396.99	906.00
397.12	872.00
397.26	872.00
397.39	858.00
397.52	1137.00
397.65	957.00
397.79	880.00
397.92	853.00
398.05	922.00
398.18	852.00
398.32	850.00
398.45	880.00
398.58	882.00
398.71	891.00
398.84	819.00
398.98	860.00
399.11	891.00
399.24	890.00
399.37	860.00
399.51	830.00
399.64	875.00
399.77	872.00
399.90	878.00
400.03	868.00
400.17	841.00
400.30	934.00
400.43	892.00
400.56	870.00
400.70	870.00
400.83	837.00
400.96	844.00
401.09	890.00
401.23	870.00
401.36	936.00
401.49	835.00
401.62	856.00
401.75	868.00
401.89	840.00
402.02	855.00
402.15	872.00
402.28	903.00
402.41	901.00
402.55	865.00
402.68	872.00
402.81	963.00
402.94	907.00
403.08	849.00
403.21	853.00
403.34	915.00
403.47	920.00
403.60	877.00
403.74	909.00
403.87	904.00
404.00	866.00
404.13	862.00
404.26	822.00
404.40	852.00
404.53	891.00
404.66	860.00
404.79	849.00
404.93	928.00
405.06	859.00
405.19	819.00
405.32	904.00
405.45	896.00
405.59	936.00
405.72	875.00
405.85	848.00
405.98	1048.00
406.11	858.00
406.25	847.00
406.38	865.00
406.51	918.00
406.64	868.00
406.77	839.00
406.91	846.00
407.04	907.00
407.17	869.00
407.30	888.00
407.43	883.00
407.57	949.00
407.70	919.00
407.83	854.00
407.96	899.00
408.09	855.00
408.23	980.00
408.36	872.00
408.49	883.00
408.62	1001.00
408.75	905.00
408.89	877.00
409.02	897.00
409.15	890.00
409.28	975.00
409.41	926.00
409.55	864.00
409.68	1001.00
409.81	913.00
409.94	863.00
410.07	899.00
410.20	916.00
410.34	882.00
410.47	916.00
410.60	909.00
410.73	922.00
410.86	864.00
411.00	897.00
411.13	860.00
411.26	885.00
411.39	899.00
411.52	917.00
411.66	892.00
411.79	886.00
411.92	867.00
412.05	888.00
412.18	892.00
412.31	922.00
412.45	942.00
412.58	935.00
412.71	867.00
412.84	928.00
412.97	968.00
413.11	900.00
413.24	910.00
413.37	939.00
413.50	1002.00
413.63	912.00
413.76	896.00
413.90	938.00
414.03	900.00
414.16	898.00
414.29	920.00
414.42	916.00
414.56	1018.00
414.69	907.00
414.82	903.00
414.95	910.00
415.08	931.00
415.21	910.00
415.35	930.00
415.48	844.00
415.61	948.00
415.74	972.00
415.87	859.00
416.00	925.00
416.14	1012.00
416.27	936.00
416.40	876.00
416.53	902.00
416.66	950.00
416.79	928.00
416.93	886.00
417.06	970.00
417.19	901.00
417.32	890.00
417.45	906.00
417.58	861.00
417.72	945.00
417.85	902.00
417.98	927.00
418.11	960.00
418.24	917.00
418.37	904.00
418.51	923.00
418.64	930.00
418.77	1001.00
418.90	931.00
419.03	878.00
419.16	925.00
419.29	962.00
419.43	888.00
419.56	877.00
419.69	1022.00
419.82	978.00
419.95	919.00
420.08	962.00
420.22	980.00
420.35	1047.00
420.48	987.00
420.61	943.00
420.74	880.00
420.87	956.00
421.00	878.00
421.14	911.00
421.27	949.00
421.40	1004.00
421.53	958.00
421.66	932.00
421.79	926.00
421.93	945.00
422.06	933.00
422.19	918.00
422.32	969.00
422.45	971.00
422.58	943.00
422.71	919.00
422.85	970.00
422.98	970.00
423.11	871.00
423.24	880.00
423.37	903.00
423.50	921.00
423.63	927.00
423.77	906.00
423.90	919.00
424.03	955.00
424.16	968.00
424.29	945.00
424.42	914.00
424.55	916.00
424.69	909.00
424.82	945.00
424.95	927.00
425.08	915.00
425.21	967.00
425.34	931.00
425.47	938.00
425.60	960.00
425.74	917.00
425.87	940.00
426.00	946.00
426.13	972.00
426.26	930.00
426.39	917.00
426.52	949.00
426.66	1031.00
426.79	977.00
426.92	918.00
427.05	1047.00
427.18	1038.00
427.31	955.00
427.44	956.00
427.57	928.00
427.71	964.00
427.84	915.00
427.97	958.00
428.10	1023.00
428.23	969.00
428.36	923.00
428.49	873.00
428.62	1075.00
428.76	1062.00
428.89	980.00
429.02	910.00
429.15	956.00
429.28	1046.00
429.41	953.00
429.54	968.00
429.67	964.00
429.81	985.00
429.94	981.00
430.07	966.00
430.20	1017.00
430.33	1044.00
430.46	944.00
430.59	924.00
430.72	979.00
430.85	926.00
430.99	985.00
431.12	935.00
431.25	1010.00
431.38	1048.00
431.51	971.00
431.64	983.00
431.77	1055.00
431.90	1057.00
432.03	978.00
432.17	943.00
432.30	979.00
432.43	1013.00
432.56	989.00
432.69	1008.00
432.82	1021.00
432.95	1030.00
433.08	981.00
433.21	981.00
433.35	978.00
433.48	995.00
433.61	940.00
433.74	993.00
433.87	978.00
434.00	1006.00
434.13	967.00
434.26	1031.00
434.39	1000.00
434.53	1006.00
434.66	973.00
434.79	985.00
434.92	978.00
435.05	1050.00
435.18	966.00
435.31	1021.00
435.44	1061.00
435.57	1002.00
435.70	988.00
435.84	971.00
435.97	1055.00
436.10	1081.00
436.23	979.00
436.36	963.00
436.49	979.00
436.62	1023.00
436.75	992.00
436.88	1033.00
437.01	970.00
437.14	967.00
437.28	960.00
437.41	989.00
437.54	1063.00
437.67	1032.00
437.80	983.00
437.93	959.00
438.06	1126.00
438.19	1048.00
438.32	997.00
438.45	994.00
438.58	1044.00
438.72	1091.00
438.85	1039.00
438.98	1016.00
439.11	1030.00
439.24	1102.00
439.37	1095.00
439.50	1058.00
439.63	1070.00
439.76	1004.00
439.89	988.00
440.02	990.00
440.15	1039.00
440.29	1089.00
440.42	1020.00
440.55	1023.00
440.68	1096.00
440.81	1146.00
440.94	1026.00
441.07	1025.00
441.20	1105.00
441.33	1055.00
441.46	1007.00
441.59	994.00
441.72	1036.00
441.85	1038.00
441.99	1066.00
442.12	1071.00
442.25	1128.00
442.38	1051.00
442.51	1022.00
442.64	983.00
442.77	1052.00
442.90	1018.00
443.03	989.00
443.16	1014.00
443.29	1040.00
443.42	1114.00
443.55	1015.00
443.68	1031.00
443.82	986.00
443.95	1013.00
444.08	1054.00
444.21	1036.00
444.34	1023.00
444.47	1042.00
444.60	1049.00
444.73	1058.00
444.86	1044.00
444.99	1141.00
445.12	1098.00
445.25	1054.00
445.38	1081.00
445.51	1091.00
445.64	1064.00
445.78	1055.00
445.91	994.00
446.04	1187.00
446.17	1102.00
446.30	1014.00
446.43	1067.00
446.56	1065.00
446.69	1030.00
446.82	1036.00
446.95	1123.00
447.08	1137.00
447.21	1081.00
447.34	1064.00
447.47	1105.00
447.60	1102.00
447.73	1084.00
447.86	1113.00
447.99	1114.00
448.13	1107.00
448.26	1110.00
448.39	1070.00
448.52	1111.00
448.65	1129.00
448.78	1084.00
448.91	1094.00
449.04	1107.00
449.17	1074.00
449.30	1116.00
449.43	1095.00
449.56	1085.00
449.69	1172.00
449.82	1122.00
449.95	1054.00
450.08	1146.00
450.21	1130.00
450.34	1095.00
450.47	1087.00
450.60	1136.00
450.73	1115.00
450.87	1100.00
451.00	1119.00
451.13	1142.00
451.26	1262.00
451.39	1106.00
451.52	1139.00
451.65	1109.00
451.78	1118.00
451.91	1091.00
452.04	1089.00
452.17	1211.00
452.30	1189.00
452.43	1091.00
452.56	1108.00
452.69	1181.00
452.82	1078.00
452.95	1162.00
453.08	1108.00
