Wavelength (nm)	Intensity
377.35	810.67
377.48	584.00
377.62	602.00
377.75	606.33
377.88	808.00
378.02	793.33
378.15	793.33
378.28	778.67
378.41	832.67
378.55	801.67
378.68	798.00
378.81	771.00
378.95	796.67
379.08	783.00
379.21	761.00
379.35	820.33
379.48	816.00
379.61	861.67
379.74	795.33
379.88	779.00
380.01	847.33
380.14	904.00
380.28	839.00
380.41	764.00
380.54	813.33
380.68	827.00
380.81	739.33
380.94	830.00
381.07	866.67
381.21	866.33
381.34	792.67
381.47	737.33
381.61	925.00
381.74	803.67
381.87	762.67
382.00	824.00
382.14	882.33
382.27	839.67
382.40	774.33
382.54	859.33
382.67	862.00
382.80	765.00
382.93	775.33
383.07	811.67
383.20	792.67
383.33	831.00
383.47	780.33
383.60	760.00
383.73	936.00
383.86	822.33
384.00	797.00
384.13	792.33
384.26	836.67
384.40	841.33
384.53	792.00
384.66	845.33
384.79	820.00
384.93	785.00
385.06	788.67
385.19	820.67
385.33	912.67
385.46	819.67
385.59	779.00
385.72	809.33
385.86	750.67
385.99	785.33
386.12	794.67
386.25	769.00
386.39	839.00
386.52	851.67
386.65	802.00
386.79	789.33
386.92	786.00
387.05	871.00
387.18	756.67
387.32	772.67
387.45	830.67
387.58	818.00
387.71	792.33
387.85	789.00
387.98	815.00
388.11	832.00
388.25	814.67
388.38	796.67
388.51	828.67
388.64	830.00
388.78	774.67
388.91	758.33
389.04	803.67
389.17	902.00
389.31	809.33
389.44	840.67
389.57	850.33
389.70	823.67
389.84	784.33
389.97	778.00
390.10	780.67
390.24	820.67
390.37	797.67
390.50	775.67
390.63	865.33
390.77	798.00
390.90	811.33
391.03	812.00
391.16	756.33
391.30	782.67
391.43	790.00
391.56	787.67
391.69	775.67
391.83	849.00
391.96	804.00
392.09	786.33
392.22	884.00
392.36	821.00
392.49	777.00
392.62	799.00
392.75	816.00
392.89	849.67
393.02	770.33
393.15	770.33
393.28	754.67
393.42	883.67
393.55	760.33
393.68	778.67
393.81	726.67
393.95	779.00
394.08	772.67
394.21	778.67
394.34	843.33
394.48	833.00
394.61	839.33
394.74	821.00
394.87	843.33
395.01	819.00
395.14	828.67
395.27	781.00
395.40	887.67
395.54	891.33
395.67	805.67
395.80	793.67
395.93	825.00
396.07	785.00
396.20	784.33
396.33	735.33
396.46	776.33
396.59	799.67
