Wavelength (nm)	Intensity
377.35	842.25
377.48	586.75
377.62	616.00
377.75	608.00
377.88	806.50
378.02	792.50
378.15	791.50
378.28	765.00
378.41	832.00
378.55	807.50
378.68	793.50
378.81	768.50
378.95	794.00
379.08	783.50
379.21	758.50
379.35	815.75
379.48	818.75
379.61	882.00
379.74	825.50
379.88	816.25
380.01	878.25
380.14	935.25
380.28	870.75
380.41	792.50
380.54	849.50
380.68	861.50
380.81	780.25
380.94	857.50
381.07	887.25
381.21	899.75
381.34	825.00
381.47	770.75
381.61	976.50
381.74	842.00
381.87	800.00
382.00	859.00
382.14	912.50
382.27	869.00
382.40	805.25
382.54	898.00
382.67	888.75
382.80	800.50
382.93	811.75
383.07	836.00
383.20	830.25
383.33	859.50
383.47	817.00
383.60	801.25
383.73	965.00
383.86	866.50
384.00	830.00
384.13	824.00
384.26	867.25
384.40	883.25
384.53	844.75
384.66	888.50
384.79	852.50
384.93	824.75
385.06	832.50
385.19	861.75
385.33	948.25
385.46	870.75
385.59	818.75
385.72	861.75
385.86	802.25
385.99	828.25
386.12	841.00
386.25	809.75
386.39	880.50
386.52	891.25
386.65	837.50
386.79	834.50
386.92	823.00
387.05	914.25
387.18	797.75
387.32	815.50
387.45	878.75
387.58	855.75
387.71	839.00
387.85	830.25
387.98	858.75
388.11	874.00
388.25	861.50
388.38	849.50
388.51	877.50
388.64	885.25
388.78	834.50
388.91	809.00
389.04	845.75
389.17	944.75
389.31	861.75
389.44	892.75
389.57	913.00
389.70	887.00
389.84	837.25
389.97	840.50
390.10	829.75
390.24	872.75
390.37	848.00
390.50	840.75
390.63	919.00
390.77	854.25
390.90	865.50
391.03	855.50
391.16	803.75
391.30	846.75
391.43	841.00
391.56	845.75
391.69	818.50
391.83	898.00
391.96	859.25
392.09	847.75
392.22	938.75
392.36	879.75
392.49	829.25
392.62	858.50
392.75	884.25
392.89	913.75
393.02	835.25
393.15	843.25
393.28	814.25
393.42	940.75
393.55	813.25
393.68	850.75
393.81	798.50
393.95	843.00
394.08	844.75
394.21	847.25
394.34	900.25
394.48	891.75
394.61	904.00
394.74	878.75
394.87	906.00
395.01	889.25
395.14	898.00
395.27	847.00
395.40	952.00
395.54	947.50
395.67	871.00
395.80	858.50
395.93	882.75
396.07	851.00
396.20	844.25
396.33	802.00
396.46	856.25
396.59	863.25
396.73	870.75
396.86	840.25
396.99	916.25
397.12	889.75
397.26	870.25
397.39	877.25
397.52	1145.25
397.65	973.50
397.79	885.00
397.92	862.00
398.05	916.50
398.18	852.25
398.32	868.75
398.45	900.75
398.58	878.00
398.71	900.75
398.84	844.50
398.98	882.50
399.11	910.50
399.24	902.25
