Wavelength (nm)	Reflectance (%)
377.35	0.0000
377.48	0.0000
377.62	0.0000
377.75	0.0000
377.88	0.0000
378.02	9.2381
378.15	200.0000
378.28	200.0000
378.41	0.0000
378.55	200.0000
378.68	26.6000
378.81	200.0000
378.95	200.0000
379.08	200.0000
379.21	200.0000
379.35	180.2581
379.48	200.0000
379.61	200.0000
379.74	126.7984
379.88	38.5000
380.01	70.0309
380.14	97.9499
380.28	48.8637
380.41	44.8000
380.54	130.9739
380.68	124.0693
380.81	75.9736
380.94	64.1329
381.07	94.1410
381.21	101.4099
381.34	47.9850
381.47	71.9392
381.61	129.8046
381.74	108.7246
381.87	31.1358
382.00	96.8848
382.14	121.7006
382.27	56.8324
382.40	32.8857
382.54	82.0032
382.67	90.0421
382.80	54.4426
382.93	79.1719
383.07	89.2458
383.20	82.3055
383.33	107.0158
383.47	66.9938
383.60	66.2407
383.73	94.9753
383.86	96.1990
384.00	54.6712
384.13	90.2840
384.26	101.3905
384.40	73.0411
384.53	57.3098
384.66	74.4572
384.79	92.3357
384.93	80.3735
385.06	57.6499
385.19	60.8356
385.33	66.8063
385.46	44.4784
385.59	58.0312
385.72	97.1887
385.86	89.8560
385.99	84.9820
386.12	87.0142
386.25	58.8203
386.39	65.6755
386.52	82.6121
386.65	78.6574
386.79	60.5230
386.92	97.0860
387.05	106.3838
387.18	78.8761
387.32	68.4076
387.45	107.2199
387.58	96.9101
387.71	79.2584
387.85	87.3417
387.98	87.9675
388.11	89.4061
388.25	77.7204
388.38	65.4742
388.51	75.0773
388.64	96.5393
388.78	97.2299
388.91	71.2888
389.04	95.0345
389.17	89.4263
389.31	55.9894
389.44	46.7399
389.57	78.9024
389.70	74.2290
389.84	78.1393
389.97	80.6036
390.10	85.6852
390.24	87.8259
390.37	65.3502
390.50	63.5510
390.63	70.0769
390.77	62.9640
390.90	65.9205
391.03	84.8128
391.16	77.9281
391.30	81.1101
391.43	96.5640
391.56	75.3177
391.69	78.2455
391.83	95.4077
391.96	71.7856
392.09	59.8195
392.22	87.2075
392.36	90.9342
392.49	62.5525
392.62	68.5240
392.75	79.8895
392.89	76.1699
393.02	79.7194
393.15	66.4520
393.28	86.0214
393.42	74.5753
393.55	72.9934
393.68	60.6445
393.81	85.1664
393.95	85.3635
394.08	82.6629
394.21	74.9897
394.34	74.9808
394.48	77.4873
394.61	68.1566
394.74	74.5250
394.87	73.3257
395.01	92.7233
395.14	77.9713
395.27	67.1302
395.40	75.2769
395.54	81.9024
395.67	59.6324
395.80	72.8735
395.93	88.3177
396.07	87.5472
396.20	82.2339
396.33	84.2940
396.46	87.0069
396.59	94.4452
396.73	76.7128
396.86	76.7549
396.99	94.4243
397.12	111.5911
397.26	62.3571
397.39	66.4828
397.52	84.6187
397.65	78.2694
397.79	49.4185
397.92	94.5173
398.05	108.4631
398.18	86.7674
398.32	76.8188
398.45	84.4134
398.58	87.9167
398.71	80.6031
398.84	78.3188
398.98	77.3186
399.11	82.1875
399.24	78.7595
399.37	78.9782
399.51	84.4394
399.64	86.1756
399.77	84.4180
399.90	89.6875
400.03	80.5859
400.17	75.4568
400.30	79.8851
400.43	78.7211
400.56	71.9849
400.70	87.4237
400.83	92.9322
400.96	90.6270
401.09	84.4352
401.23	85.1698
401.36	77.1685
401.49	76.8084
401.62	79.6819
401.75	87.2175
401.89	82.4233
402.02	81.7324
402.15	82.4230
402.28	85.0162
402.41	89.5083
402.55	80.2070
402.68	78.1524
402.81	85.4129
402.94	88.8780
403.08	77.7865
403.21	81.9775
403.34	92.1369
403.47	82.7255
403.60	70.8238
403.74	81.2253
403.87	86.6702
404.00	85.6815
404.13	93.4499
404.26	93.9382
404.40	89.8637
404.53	96.4566
404.66	85.1867
404.79	79.3231
404.93	92.3375
405.06	90.1037
405.19	81.0175
405.32	83.3645
405.45	91.7194
405.59	93.2383
405.72	70.1979
405.85	80.4028
405.98	93.4020
406.11	87.3124
406.25	71.4719
406.38	94.4503
406.51	93.0059
406.64	88.3322
406.77	84.4728
406.91	93.4545
407.04	94.9753
407.17	92.6403
407.30	81.3958
407.43	80.9359
407.57	86.1191
407.70	88.7684
407.83	91.2968
407.96	89.6948
408.09	100.0911
408.23	102.2442
408.36	84.6223
408.49	80.4997
408.62	98.2922
408.75	92.1779
408.89	85.9728
409.02	93.4676
409.15	93.5735
409.28	96.3760
409.41	84.0871
409.55	83.0000
409.68	96.4829
409.81	93.6068
