Wavelength (nm)	Intensity
377.35	808.624
377.48	591.9739999999999
377.62	616.774
377.75	614.824
377.88	822.726
378.02	805.4
378.15	811.024
378.28	781.424
378.41	851.052
378.55	823.524
378.68	809.0
378.81	790.274
378.95	816.024
379.08	805.85
379.21	770.85
379.35	831.426
379.48	832.2760000000001
379.61	885.1
379.74	808.824
379.88	790.426
380.01	867.95
380.14	923.0260000000001
380.28	847.9739999999999
380.41	778.298
380.54	825.95
380.68	836.75
380.81	753.9
380.94	832.1
381.07	879.25
381.21	884.6
381.34	807.024
381.47	751.6479999999999
381.61	954.874
381.74	817.302
381.87	778.35
382.0	832.074
382.14	898.5
382.27	851.5
382.4	797.05
382.54	876.2760000000001
382.67	873.7760000000001
382.8	781.726
382.93	787.7479999999999
383.07	814.45
383.2	816.326
383.33	847.5
383.47	791.7
383.6	768.9739999999999
383.73	955.2760000000001
383.86	843.2239999999999
384.0	805.35
384.13	797.124
384.26	847.174
384.4	861.8
384.53	813.624
384.66	859.9739999999999
384.79	828.124
384.93	797.024
385.06	800.35
385.19	821.876
385.33	926.376
385.46	846.9
385.59	790.774
385.72	831.324
385.86	771.674
385.99	804.024
386.12	804.176
386.25	783.052
386.39	855.876
386.52	874.25
386.65	808.524
386.79	800.952
386.92	795.174
387.05	894.2239999999999
387.18	769.524
387.32	783.35
387.45	846.75
387.58	822.0260000000001
387.71	795.65
387.85	791.9
387.98	829.85
388.11	844.5
388.25	827.05
388.38	812.3
388.51	847.65
388.64	856.074
388.78	790.226
388.91	770.076
389.04	812.124
389.17	918.2520000000001
389.31	820.2239999999999
389.44	837.348
389.57	872.6479999999999
389.7	842.376
389.84	800.3979999999999
389.97	790.876
390.1	798.4739999999999
390.24	841.45
390.37	809.1479999999999
390.5	792.8520000000001
390.63	878.55
390.77	820.574
390.9	823.0260000000001
391.03	815.3
391.16	770.9739999999999
391.3	799.624
391.43	800.4
391.56	799.124
391.69	786.15
391.83	862.9
391.96	823.076
392.09	800.374
392.22	900.702
392.36	833.098
392.49	782.7239999999999
392.62	802.448
392.75	837.65
392.89	879.7760000000001
393.02	779.9
393.15	783.948
393.28	770.576
393.42	900.548
393.55	766.3
393.68	796.524
393.81	743.598
393.95	797.324
394.08	791.4739999999999
394.21	795.176
394.34	853.476
394.48	844.5
394.61	849.174
394.74	826.874
394.87	859.75
395.01	827.726
395.14	842.3
395.27	791.35
395.4	907.9
395.54	905.05
395.67	817.676
395.8	803.05
395.93	843.5
396.07	794.9
396.2	788.75
396.33	746.65
396.46	794.926
396.59	811.65
396.73	806.826
396.86	781.55
396.99	865.95
397.12	826.924
397.26	817.076
397.39	810.15
397.52	1097.05
397.65	920.2760000000001
397.79	813.85
397.92	802.826
398.05	861.4739999999999
398.18	795.626
398.32	803.626
398.45	833.65
398.58	836.7479999999999
398.71	841.024
398.84	773.326
398.98	807.702
399.11	842.7760000000001
399.24	832.826
399.37	799.25
399.51	777.048
399.64	814.174
399.77	816.85
399.9	811.1
400.03	809.798
400.17	770.952
400.3	875.924
400.43	844.374
400.56	815.874
400.7	817.55
400.83	791.826
400.96	783.774
401.09	819.124
401.23	821.374
401.36	880.7760000000001
401.49	798.374
401.62	815.976
401.75	807.35
401.89	785.574
402.02	794.626
402.15	815.226
402.28	832.676
402.41	825.624
402.55	795.876
402.68	805.5
402.81	883.698
402.94	856.3
403.08	791.376
403.21	774.124
403.34	853.5020000000001
403.47	850.226
403.6	805.326
403.74	835.05
403.87	853.4739999999999
404.0	790.0020000000001
404.13	789.074
404.26	766.4
404.4	781.0260000000001
404.53	830.926
404.66	805.124
404.79	777.476
404.93	850.774
405.06	825.774
405.19	766.25
405.32	820.65
405.45	836.274
405.59	852.326
405.72	814.65
405.85	789.976
405.98	984.7760000000001
406.11	786.324
406.25	781.298
406.38	798.0
406.51	841.0
406.64	811.924
406.77	768.75
406.91	770.626
407.04	836.552
407.17	803.626
407.3	824.226
407.43	805.476
407.57	884.948
407.7	869.374
407.83	784.926
407.96	812.1
408.09	775.7239999999999
408.23	898.476
408.36	810.574
408.49	798.074
408.62	926.826
408.75	825.676
408.89	788.1
409.02	831.726
409.15	820.0260000000001
409.28	898.524
409.41	844.7239999999999
409.55	789.25
409.68	929.548
409.81	831.374
409.94	788.476
410.07	821.876
410.2	821.65
410.34	803.15
410.47	810.576
410.6	820.976
410.73	847.626
410.86	787.874
411.0	813.676
411.13	782.226
411.26	824.75
411.39	819.552
411.52	833.124
411.66	801.5
411.79	798.45
411.92	787.826
412.05	805.574
412.18	796.95
412.31	833.7239999999999
412.45	862.076
412.58	849.0260000000001
412.71	775.424
412.84	833.2
412.97	894.0020000000001
413.11	817.598
413.24	832.576
413.37	855.524
413.5	917.4739999999999
413.63	830.774
413.76	800.374
413.9	845.9739999999999
414.03	800.5260000000001
414.16	796.176
414.29	828.624
414.42	814.7760000000001
414.56	917.674
414.69	795.2760000000001
414.82	808.9
414.95	814.1
415.08	835.3
415.21	810.65
415.35	829.6
415.48	741.726
415.61	863.424
415.74	865.976
415.87	772.2760000000001
416.0	826.4739999999999
416.14	928.402
416.27	821.126
416.4	782.8
416.53	809.802
416.66	839.924
416.79	817.976
416.93	783.326
417.06	835.1479999999999
417.19	816.926
417.32	803.55
417.45	792.75
417.58	769.874
417.72	855.726
417.85	795.45
417.98	810.0260000000001
418.11	848.4
418.24	790.976
418.37	796.55
418.51	815.0
418.64	822.376
418.77	892.152
418.9	826.15
419.03	773.426
419.16	828.2
419.29	859.174
419.43	795.7760000000001
419.56	779.5
419.69	924.9
419.82	867.1020000000001
419.95	811.1
420.08	854.6
420.22	881.25
420.35	937.85
420.48	855.1020000000001
