Wavelength (nm)	Intensity
377.35	804.00
377.48	594.50
377.62	616.50
377.75	610.25
377.88	829.50
378.02	814.25
378.15	812.00
378.28	783.00
378.41	856.50
378.55	830.25
378.68	811.25
378.81	793.25
378.95	820.75
379.08	805.75
379.21	775.25
379.35	838.75
379.48	838.75
379.61	886.25
379.74	810.25
379.88	796.50
380.01	869.50
380.14	936.00
380.28	853.75
380.41	778.00
380.54	821.75
380.68	845.50
380.81	758.75
380.94	853.25
381.07	878.75
381.21	881.75
381.34	809.00
381.47	756.75
381.61	960.50
381.74	823.75
381.87	781.75
382.00	842.00
382.14	910.50
382.27	851.00
382.40	805.00
382.54	888.25
382.67	877.00
382.80	785.75
382.93	794.75
383.07	820.50
383.20	821.50
383.33	849.50
383.47	792.00
383.60	776.25
383.73	961.50
383.86	851.75
384.00	810.50
384.13	801.50
384.26	857.00
384.40	868.25
384.53	817.75
384.66	851.50
384.79	829.50
384.93	808.50
385.06	802.00
385.19	839.00
385.33	945.25
385.46	853.00
385.59	791.75
385.72	838.75
385.86	786.00
385.99	803.00
386.12	806.75
386.25	785.75
386.39	853.75
386.52	880.75
386.65	814.00
386.79	803.50
386.92	800.50
387.05	908.50
387.18	772.25
387.32	785.25
387.45	855.25
387.58	833.25
387.71	804.50
387.85	790.75
387.98	837.00
388.11	852.50
388.25	831.75
388.38	817.25
388.51	862.50
388.64	863.25
388.78	806.25
388.91	779.25
389.04	816.00
389.17	926.75
389.31	828.50
389.44	844.25
389.57	867.25
389.70	846.75
389.84	804.25
389.97	797.25
390.10	800.50
390.24	843.75
390.37	809.50
390.50	797.75
390.63	886.75
390.77	822.25
390.90	823.00
391.03	820.25
391.16	775.75
391.30	805.75
391.43	806.50
391.56	801.25
391.69	787.25
391.83	870.25
391.96	822.75
392.09	807.50
392.22	902.00
392.36	835.25
392.49	783.50
392.62	814.50
392.75	848.25
392.89	883.75
393.02	792.25
393.15	784.75
393.28	772.25
393.42	893.25
393.55	765.75
393.68	795.50
393.81	755.50
393.95	809.50
394.08	797.50
394.21	794.75
394.34	861.50
394.48	851.50
394.61	857.00
394.74	827.50
394.87	869.25
395.01	847.50
395.14	853.50
395.27	799.75
395.40	915.25
395.54	914.50
395.67	824.25
395.80	801.00
395.93	856.75
396.07	794.00
396.20	794.75
396.33	760.50
396.46	807.75
396.59	819.25
396.73	802.25
396.86	797.25
396.99	881.25
397.12	850.00
397.26	822.50
397.39	819.75
397.52	1101.50
397.65	927.75
397.79	817.75
397.92	811.75
398.05	871.25
398.18	801.75
398.32	812.75
398.45	842.00
398.58	839.25
398.71	850.25
398.84	775.00
398.98	812.00
399.11	853.25
399.24	841.50
399.37	809.75
399.51	781.75
399.64	817.50
399.77	821.75
399.90	812.25
400.03	815.25
400.17	789.50
400.30	889.00
400.43	852.50
400.56	816.25
400.70	822.50
400.83	793.25
400.96	786.75
401.09	830.75
401.23	827.75
401.36	889.25
401.49	807.00
401.62	843.75
401.75	830.25
401.89	798.75
402.02	815.25
402.15	819.50
402.28	845.25
402.41	834.00
402.55	798.50
402.68	809.75
402.81	894.25
402.94	870.00
403.08	798.25
403.21	780.00
403.34	865.50
403.47	861.50
403.60	812.75
403.74	850.50
403.87	861.00
404.00	795.75
404.13	793.50
404.26	771.75
404.40	796.75
404.53	838.75
404.66	809.00
404.79	784.25
404.93	861.75
405.06	831.25
405.19	771.50
405.32	829.50
405.45	847.75
405.59	864.25
405.72	809.75
405.85	793.25
405.98	991.75
406.11	793.75
406.25	792.75
406.38	803.75
406.51	853.25
406.64	823.75
406.77	769.75
406.91	771.75
407.04	840.25
407.17	817.00
407.30	837.50
407.43	811.75
407.57	896.75
407.70	881.00
407.83	793.25
407.96	814.75
408.09	787.00
408.23	903.50
408.36	818.50
408.49	811.00
408.62	934.25
408.75	832.75
408.89	799.00
409.02	839.25
409.15	828.75
409.28	911.00
409.41	845.50
409.55	805.75
409.68	948.50
409.81	840.25
409.94	795.75
410.07	825.25
410.20	831.50
410.34	814.50
410.47	817.00
410.60	831.50
410.73	858.50
410.86	790.75
411.00	819.00
411.13	803.50
411.26	839.25
411.39	831.75
411.52	838.25
411.66	807.00
411.79	800.50
411.92	793.50
412.05	807.00
412.18	803.00
412.31	852.25
412.45	882.00
412.58	856.75
412.71	783.00
412.84	836.00
412.97	906.50
413.11	834.00
413.24	838.25
413.37	870.50
413.50	920.00
413.63	832.50
413.76	819.50
413.90	855.50
414.03	809.75
414.16	810.75
414.29	849.00
414.42	825.00
414.56	935.25
414.69	812.00
414.82	821.00
414.95	821.00
415.08	847.25
415.21	826.50
415.35	836.00
415.48	751.25
415.61	866.75
415.74	871.00
415.87	778.50
416.00	837.00
416.14	942.50
416.27	834.50
416.40	797.25
416.53	822.75
416.66	845.75
416.79	831.25
416.93	783.75
417.06	834.50
417.19	819.50
417.32	812.00
417.45	800.00
417.58	779.50
417.72	871.75
417.85	806.00
417.98	817.00
418.11	861.25
418.24	809.00
418.37	804.00
418.51	815.50
418.64	836.75
418.77	911.00
418.90	846.00
419.03	791.75
419.16	838.50
419.29	870.50
419.43	806.25
419.56	786.75
419.69	943.50
419.82	878.75
419.95	818.00
420.08	864.50
420.22	894.00
420.35	956.50
420.48	866.25
420.61	817.00
420.74	766.75
420.87	867.50
421.00	791.50
421.14	810.00
421.27	864.75
421.40	899.75
421.53	848.00
421.66	823.00
421.79	818.50
421.93	824.25
422.06	819.75
422.19	799.75
422.32	871.00
422.45	881.75
422.58	836.75
422.71	813.00
422.85	863.50
422.98	865.50
423.11	778.50
423.24	765.50
423.37	796.25
423.50	807.25
423.63	827.50
423.77	793.50
423.90	795.00
424.03	851.00
424.16	852.00
424.29	820.00
424.42	774.75
424.55	792.00
424.69	789.75
424.82	822.25
424.95	844.75
425.08	797.25
425.21	833.50
425.34	809.50
425.47	826.25
425.60	847.75
425.74	777.25
425.87	813.25
426.00	808.50
426.13	835.25
426.26	792.75
426.39	796.75
426.52	817.75
426.66	897.50
426.79	854.75
426.92	797.50
427.05	932.50
427.18	881.00
427.31	812.25
427.44	814.25
427.57	797.50
427.71	835.50
427.84	790.00
427.97	818.50
428.10	883.50
428.23	828.75
428.36	805.50
428.49	740.00
428.62	957.50
428.76	924.00
428.89	832.50
429.02	782.50
429.15	820.75
429.28	919.25
429.41	807.75
429.54	822.00
429.67	822.00
429.81	851.50
429.94	828.50
430.07	802.25
430.20	861.50
430.33	888.00
430.46	784.25
430.59	792.00
430.72	822.25
430.85	777.25
430.99	820.50
431.12	795.50
431.25	882.00
431.38	901.25
431.51	828.50
431.64	827.25
431.77	902.50
431.90	904.25
432.03	831.75
432.17	795.00
432.30	840.50
432.43	853.00
432.56	827.75
432.69	844.25
432.82	844.00
432.95	880.75
433.08	826.50
433.21	829.75
433.35	811.75
433.48	826.75
433.61	786.50
433.74	818.50
433.87	806.75
434.00	867.00
434.13	796.25
434.26	847.75
434.39	855.50
434.53	860.00
434.66	828.50
434.79	818.25
434.92	817.50
435.05	900.75
435.18	805.75
435.31	846.00
435.44	891.00
435.57	838.00
435.70	824.75
435.84	797.50
435.97	895.50
436.10	947.00
436.23	816.50
436.36	792.75
436.49	820.25
436.62	842.00
436.75	821.00
436.88	846.25
437.01	806.00
437.14	801.75
437.28	785.50
437.41	812.75
437.54	895.00
437.67	851.50
437.80	809.50
437.93	787.25
438.06	960.50
438.19	881.75
438.32	786.50
438.45	797.00
438.58	851.25
438.72	913.50
438.85	863.25
438.98	811.75
439.11	852.25
439.24	903.50
439.37	887.75
439.50	852.75
439.63	876.00
439.76	807.50
439.89	803.00
440.02	807.00
440.15	857.00
440.29	903.00
440.42	830.50
440.55	824.50
440.68	911.00
440.81	960.25
440.94	844.50
441.07	833.25
441.20	930.00
441.33	849.25
441.46	817.25
441.59	809.75
441.72	825.25
441.85	847.00
441.99	867.50
442.12	858.50
442.25	923.75
442.38	855.25
442.51	840.75
442.64	783.50
442.77	837.00
442.90	810.25
443.03	783.75
443.16	811.50
443.29	835.25
443.42	910.00
443.55	808.00
443.68	828.00
443.82	787.00
443.95	816.50
444.08	812.25
444.21	832.50
444.34	807.00
444.47	825.25
444.60	822.75
444.73	848.75
444.86	833.25
444.99	903.25
445.12	857.50
445.25	843.25
445.38	857.25
445.51	879.50
445.64	838.00
445.78	803.25
445.91	771.75
446.04	939.75
446.17	877.75
446.30	791.75
446.43	857.75
446.56	841.00
446.69	806.75
446.82	815.00
446.95	888.50
447.08	908.50
447.21	849.75
447.34	815.25
447.47	891.00
447.60	877.50
447.73	832.25
447.86	864.25
447.99	835.00
448.13	845.00
448.26	869.75
448.39	823.50
448.52	869.75
448.65	873.25
448.78	838.75
448.91	829.75
449.04	867.25
449.17	824.75
449.30	855.50
449.43	840.75
449.56	829.50
449.69	898.50
449.82	824.50
449.95	792.25
450.08	901.00
450.21	870.25
450.34	836.75
450.47	840.00
450.60	882.50
450.73	844.00
450.87	818.75
451.00	856.25
451.13	880.75
451.26	983.75
451.39	817.00
451.52	861.00
451.65	833.25
451.78	827.00
451.91	822.00
452.04	814.75
452.17	921.25
452.30	918.50
452.43	824.75
452.56	819.25
452.69	892.50
452.82	814.00
452.95	872.75
453.08	803.50
453.21	761.00
453.34	874.75
453.47	811.00
453.60	882.25
453.73	930.50
453.86	869.75
453.99	854.75
454.12	848.00
454.25	837.75
454.38	843.25
454.52	806.00
454.65	819.50
454.78	814.00
454.91	799.75
455.04	820.75
455.17	806.75
455.30	816.00
455.43	893.50
455.56	822.00
455.69	787.00
455.82	864.00
455.95	855.00
456.08	796.75
456.21	792.25
456.34	792.25
456.47	782.75
456.60	825.00
456.73	799.75
456.86	831.50
456.99	870.50
457.12	805.25
457.25	818.00
457.38	900.25
457.51	873.75
457.64	853.75
457.77	825.25
457.90	825.25
458.03	819.50
458.16	826.75
458.29	831.25
458.42	828.25
458.55	784.25
458.68	808.00
458.81	822.75
458.94	905.50
459.07	943.00
459.20	794.25
459.33	817.50
459.46	907.25
459.59	937.50
459.72	890.25
459.85	829.25
459.98	916.50
460.11	876.50
460.24	842.25
460.37	799.50
460.50	886.25
460.63	866.00
460.76	830.00
460.89	848.25
461.02	867.75
461.15	877.00
461.28	841.00
461.41	825.00
461.54	919.50
461.67	812.00
461.80	844.50
461.93	887.50
462.06	870.75
462.19	899.50
462.32	834.00
462.45	816.75
462.58	871.50
462.71	833.50
462.84	838.25
462.97	789.25
463.10	835.75
463.23	853.00
463.36	868.25
463.49	843.75
463.62	801.00
463.75	875.75
463.88	827.00
464.01	840.25
464.14	806.00
464.27	941.75
464.40	836.00
464.53	837.50
464.66	873.00
464.79	867.75
464.92	848.75
465.05	812.25
465.18	852.50
465.31	845.75
465.44	833.50
465.57	814.00
465.70	832.75
465.83	955.75
465.96	861.25
466.09	823.50
466.22	882.75
466.35	868.50
466.48	821.75
466.61	815.50
466.74	837.50
466.87	884.50
467.00	877.00
467.13	871.50
467.26	881.75
467.39	799.25
467.52	799.25
467.65	832.25
467.78	913.50
467.91	853.50
468.04	854.75
468.17	825.75
468.30	838.00
468.43	801.25
468.56	826.25
468.69	858.25
468.82	872.25
468.95	812.25
469.08	836.75
469.21	848.00
469.34	886.50
469.47	952.00
469.60	930.50
469.73	863.50
469.86	870.25
469.99	898.00
470.11	822.50
470.24	826.75
470.37	890.75
470.50	854.50
470.63	828.25
470.76	843.50
470.89	893.50
471.02	959.00
471.15	839.00
471.28	843.00
471.41	946.00
471.54	879.50
471.67	828.50
471.80	785.25
471.93	900.25
472.06	872.25
472.19	843.75
472.32	827.00
472.45	960.00
472.58	906.25
472.71	863.00
472.84	835.50
472.97	834.50
473.10	811.00
473.23	890.00
473.36	801.75
473.49	912.50
473.62	894.75
473.74	876.75
473.87	895.75
474.00	832.50
474.13	841.25
474.26	869.25
474.39	879.75
474.52	861.75
474.65	850.75
474.78	865.25
474.91	810.75
475.04	888.00
475.17	979.75
475.30	879.75
475.43	877.00
475.56	929.75
475.69	874.00
475.82	885.00
475.95	831.75
476.08	929.50
476.21	874.00
476.34	893.50
476.46	897.25
476.59	930.00
476.72	861.00
476.85	852.50
476.98	832.00
477.11	921.50
477.24	869.50
477.37	812.50
477.50	849.75
477.63	884.50
477.76	838.75
477.89	807.00
478.02	822.75
478.15	870.75
478.28	860.00
478.41	879.00
478.54	845.75
478.66	912.00
478.79	857.00
478.92	859.75
479.05	857.25
479.18	883.50
479.31	850.00
479.44	849.75
479.57	842.50
479.70	871.50
479.83	890.25
479.96	850.75
480.09	885.25
480.22	1008.25
480.35	983.25
480.48	918.75
480.60	887.25
480.73	853.00
480.86	897.75
480.99	858.50
481.12	867.75
481.25	877.00
481.38	946.25
481.51	865.75
481.64	889.00
481.77	902.25
481.90	869.00
482.03	870.25
482.16	864.75
482.29	940.25
482.41	888.25
482.54	910.00
