Wavelength (nm)	Intensity
399.99	1316.966332013965
400.13	1282.5034204251556
400.26	1374.3284629455893
400.39	1386.6417745820845
400.52	1340.5645129332033
400.65	1335.9866004329756
400.79	1318.5789852998978
400.92	1300.03226296926
401.05	1333.5142563484767
401.18	1361.0313284244744
401.32	1434.8937240275313
401.45	1364.5374473897189
401.58	1344.037624648635
401.71	1348.0338121852442
401.85	1326.4110496690105
401.98	1330.7910163307688
402.11	1347.1468187640053
402.24	1387.2458512594797
402.37	1398.5524162976394
402.51	1357.266186681846
402.64	1358.354175529798
402.77	1452.0242968913822
402.9	1460.6028164205886
403.04	1375.6019702759113
403.17	1326.4780723145975
403.3	1404.9303919219406
403.43	1454.6439066800438
403.56	1390.202077335109
403.7	1401.1233380615795
403.83	1447.4824738901154
403.96	1388.9013137113416
404.09	1355.3521879252828
404.23	1323.6985093936437
404.36	1335.7962365038009
404.49	1401.4082076554012
404.62	1394.995568946945
404.75	1354.3323764473785
404.89	1435.8065152494926
405.02	1446.3645362887426
405.15	1358.439104530775
405.28	1380.7409519908706
405.42	1448.3173331975386
405.55	1475.1924766450472
405.68	1429.3241188054042
405.81	1379.1681610817536
405.94	1589.1909605059172
406.08	1452.7986559967883
406.21	1376.413873433456
406.34	1389.1219702429848
406.47	1452.2541568385088
406.6	1442.9408822870469
406.74	1372.2330581529443
406.87	1358.855739777538
407.0	1433.0954935673708
407.13	1432.1726138574413
407.26	1442.1050761311355
407.4	1428.90692137558
407.53	1522.0171966276696
407.66	1548.588618851026
407.79	1440.8466855610977
407.93	1427.4289375275819
408.06	1402.8709537942395
408.19	1537.6403994631341
408.32	1480.122914057395
408.45	1423.3837619992607
408.59	1584.943124754376
408.72	1512.7241914211309
408.85	1427.925369708801
408.98	1449.673636581993
409.11	1472.236400339142
409.25	1576.6858523457433
409.38	1519.4422603073006
409.51	1449.0959712389329
409.64	1591.976748439543
409.77	1551.7163926983085
409.91	1441.455330869262
410.04	1459.112094531673
410.17	1486.1974882916702
410.3	1462.0869329088039
410.43	1461.431539642983
410.57	1476.2530521002109
410.7	1509.5654558015801
410.83	1444.8157514680922
410.96	1456.6151408662947
411.09	1439.6937844823549
411.23	1475.826472152797
411.36	1490.0293499103161
411.49	1497.5571201363261
411.62	1465.4144375524538
411.75	1458.421427658713
411.88	1449.5196709679637
412.02	1465.6052244198647
412.15	1454.6878975610741
412.28	1501.0231520155025
412.41	1540.426752523282
412.54	1544.4485744743847
412.68	1447.260181004886
412.81	1498.7542299283434
412.94	1611.320098774588
413.07	1538.754846361584
413.2	1514.2105987606521
413.34	1563.7984191840662
413.47	1647.7839104917957
413.6	1546.1418355128512
413.73	1485.3493201368842
413.86	1536.3881432902263
413.99	1506.9185938110966
414.13	1474.290039538095
414.26	1512.1183954866624
414.39	1521.1480555379717
414.52	1643.765015552498
414.65	1541.9040695083283
414.79	1488.8332517707772
414.92	1505.1559089789766
415.05	1537.2884565195225
415.18	1507.1759146616612
415.31	1521.5084997927024
415.44	1440.577816681433
415.58	1556.7244695871543
415.71	1601.132959904632
415.84	1476.81174977632
415.97	1523.4714624799053
416.1	1668.3208166776678
416.24	1565.6003737155445
416.37	1478.0391216625137
416.5	1513.8455256560246
416.63	1560.829369562779
416.76	1536.0175022840683
416.89	1481.453585355207
417.03	1579.3971845927408
417.16	1553.2295405660625
417.29	1507.2490154847142
417.42	1488.379678352094
417.55	1465.3857598588872
417.68	1571.1001975004056
417.82	1523.9926085060113
417.95	1509.7449557108566
418.08	1576.9018539230765
418.21	1520.5936631410611
418.34	1501.8545074778108
418.47	1517.1325134878837
418.61	1544.5671157771392
418.74	1644.405954997935
418.87	1581.5046773726383
419.0	1489.19168560569
419.13	1544.3615693287122
419.26	1607.3357801217041
419.4	1528.865549235922
419.53	1479.647542908102
419.66	1672.4103693191364
419.79	1667.9356220315863
419.92	1568.7642848754347
420.05	1593.6555475788034
420.19	1656.0073365014953
420.32	1742.8875570923747
420.45	1644.4996960176109
420.58	1545.0750577125236
420.71	1483.8982762278745
420.84	1581.4326299856116
420.98	1510.0826745380507
421.11	1518.851073814485
421.24	1611.2263684352558
421.37	1674.5105033975578
421.5	1614.4465431194317
421.63	1556.7899239194162
421.77	1567.8624748993827
421.9	1573.992714854634
422.03	1559.684836728965
422.16	1528.647070387339
422.29	1622.3882763353377
422.42	1652.6325942023502
422.55	1596.53981494535
422.69	1543.2621822504798
422.82	1629.5413926782603
422.95	1650.349834968394
423.08	1530.4672760061562
423.21	1479.3657623029248
423.34	1510.294730004446
423.48	1539.371017811542
423.61	1572.0669445698513
423.74	1532.4890727469742
423.87	1527.2518473360287
424.0	1602.999273550865
424.13	1616.9947891758175
424.26	1565.9759775285297
424.4	1501.677220359576
424.53	1523.6165583681686
424.66	1504.3784487077912
424.79	1547.8107040653833
424.92	1594.0510693936762
425.05	1548.9571726417112
425.18	1585.3090155979098
425.32	1546.1113940284574
425.45	1575.8054514729324
425.58	1614.6258052907058
425.71	1515.1443163346662
425.84	1539.026617116968
425.97	1575.1192108463354
426.1	1597.8821977527266
426.24	1531.501064526658
426.37	1518.7558120437066
426.5	1557.5941154817338
426.63	1668.889780501999
426.76	1636.7025067403604
426.89	1550.088947100949
427.02	1701.135891421114
427.16	1701.5926108343192
427.29	1588.3481756872625
427.42	1566.8179987308001
427.55	1537.5779239927763
427.68	1572.7295532676465
427.81	1537.1438250970039
427.94	1564.0199013506988
428.07	1668.0388220588025
428.21	1625.0463115185144
428.34	1568.432940389433
428.47	1464.69882069427
428.6	1755.0835833398319
428.73	1778.8437603128575
428.86	1652.0382275815969
428.99	1539.081086613546
429.13	1575.126639267749
429.26	1733.5925256996195
429.39	1585.9403591433224
429.52	1575.4493227467956
429.65	1580.4814536958643
429.78	1640.7379550916637
429.91	1607.9985223781027
430.04	1567.1432187915923
430.18	1662.5442870774823
430.31	1717.3929327481453
430.44	1572.3309195650002
430.57	1538.243646688399
430.7	1595.324602694309
430.83	1543.833559887839
430.96	1580.8964129849035
431.09	1557.017525237599
431.23	1675.7848667342337
431.36	1736.728139962302
431.49	1635.9774745446032
431.62	1600.0863527907904
431.75	1728.7646865176735
431.88	1757.2269830196128
432.01	1638.220137575236
