Wavelength (nm)	Reflectance (%)
377.35	200.0000
377.48	200.0000
377.62	200.0000
377.75	200.0000
377.88	200.0000
378.02	200.0000
378.15	200.0000
378.28	200.0000
378.41	200.0000
378.55	200.0000
378.68	200.0000
378.81	200.0000
378.95	200.0000
379.08	200.0000
379.21	200.0000
379.35	200.0000
379.48	200.0000
379.61	0.0000
379.74	0.0000
379.88	0.0000
380.01	0.0000
380.14	0.0000
380.28	0.0000
380.41	0.0000
380.54	0.0000
380.68	0.0000
380.81	0.0000
380.94	0.0000
381.07	0.0000
381.21	0.0000
381.34	0.0000
381.47	0.0000
381.61	0.0000
381.74	0.0000
381.87	0.0000
382.00	0.0000
382.14	0.0000
382.27	0.0000
382.40	0.0000
382.54	0.0000
382.67	0.0000
382.80	0.0000
382.93	0.0000
383.07	0.0000
383.20	0.0000
383.33	0.0000
383.47	0.0000
383.60	0.0000
383.73	0.0000
383.86	0.0000
384.00	0.0000
384.13	0.0000
384.26	0.0000
384.40	0.0000
384.53	0.0000
384.66	0.0000
384.79	0.0000
384.93	0.0000
385.06	0.0000
385.19	0.0000
385.33	0.0000
385.46	0.0000
385.59	0.0000
385.72	0.0000
385.86	0.0000
385.99	0.0000
386.12	0.0000
386.25	0.0000
386.39	0.0000
386.52	0.0000
386.65	0.0000
386.79	0.0000
386.92	0.0000
387.05	0.0000
387.18	0.0000
387.32	0.0000
387.45	0.0000
387.58	0.0000
387.71	0.0000
387.85	0.0000
387.98	0.0000
388.11	0.0000
388.25	0.0000
388.38	0.0000
388.51	0.0000
388.64	0.0000
388.78	0.0000
388.91	0.0000
389.04	0.0000
389.17	0.0000
389.31	0.0000
389.44	0.0000
389.57	0.0000
389.70	0.0000
389.84	0.0000
389.97	0.0000
390.10	0.0000
390.24	0.0000
390.37	0.0000
390.50	0.0000
390.63	0.0000
390.77	0.0000
390.90	0.0000
391.03	0.0000
391.16	0.0000
391.30	0.0000
391.43	0.0000
391.56	0.0000
391.69	0.0000
391.83	0.0000
391.96	0.0000
392.09	0.0000
392.22	0.0000
392.36	0.0000
392.49	0.0000
392.62	0.0000
392.75	0.0000
392.89	0.0000
393.02	0.0000
393.15	0.0000
393.28	0.0000
393.42	0.0000
393.55	0.0000
393.68	0.0000
393.81	0.0000
393.95	0.0000
394.08	0.0000
394.21	0.0000
394.34	0.0000
394.48	0.0000
394.61	0.0000
394.74	0.0000
394.87	0.0000
395.01	0.0000
395.14	0.0000
395.27	0.0000
395.40	0.0000
395.54	0.0000
395.67	0.0000
395.80	0.0000
395.93	0.0000
396.07	0.0000
396.20	0.0000
396.33	0.0000
396.46	0.0000
396.59	0.0000
396.73	0.0000
