Wavelength (nm)	Intensity
377.35	813.12
377.48	596.00
377.62	617.00
377.75	619.25
377.88	817.50
378.02	808.50
378.15	812.12
378.28	784.75
378.41	852.88
378.55	820.75
378.68	808.62
378.81	790.25
378.95	814.25
379.08	805.75
379.21	774.00
379.35	828.75
379.48	832.50
379.61	887.50
379.74	811.25
379.88	796.25
380.01	865.38
380.14	922.38
380.28	853.00
380.41	779.12
380.54	831.12
380.68	841.25
380.81	754.75
380.94	826.62
381.07	880.50
381.21	881.50
381.34	803.50
381.47	752.12
381.61	955.25
381.74	821.88
381.87	778.50
382.00	832.62
382.14	900.00
382.27	852.25
382.40	799.50
382.54	876.00
382.67	875.00
382.80	787.00
382.93	784.12
383.07	809.75
383.20	814.00
383.33	849.38
383.47	787.00
383.60	769.75
383.73	951.50
383.86	840.62
384.00	805.88
384.13	797.62
384.26	844.62
384.40	861.00
384.53	810.50
384.66	850.12
384.79	822.25
384.93	793.75
385.06	802.62
385.19	825.38
385.33	928.75
385.46	838.75
385.59	788.50
385.72	829.50
385.86	771.25
385.99	808.00
386.12	801.75
386.25	784.88
386.39	855.38
386.52	870.12
386.65	809.12
386.79	797.38
386.92	793.00
387.05	890.62
387.18	764.12
387.32	778.88
387.45	845.12
387.58	820.88
387.71	795.88
387.85	794.25
387.98	830.00
388.11	840.62
388.25	830.38
388.38	816.12
388.51	843.88
388.64	855.62
388.78	788.38
388.91	769.38
389.04	809.12
389.17	916.88
389.31	824.00
389.44	836.62
389.57	866.12
389.70	843.50
389.84	801.12
389.97	796.88
390.10	796.12
390.24	843.50
390.37	806.62
390.50	793.38
390.63	884.75
390.77	823.12
390.90	822.75
391.03	812.62
391.16	771.75
391.30	796.50
391.43	802.25
391.56	798.62
391.69	785.50
391.83	862.50
391.96	821.50
392.09	803.25
392.22	900.88
392.36	827.12
392.49	778.62
392.62	801.12
392.75	837.62
392.89	880.25
393.02	778.88
393.15	779.62
393.28	768.88
393.42	895.12
393.55	767.00
393.68	793.62
393.81	747.12
393.95	793.50
394.08	786.50
394.21	790.38
394.34	854.38
394.48	839.00
394.61	850.12
394.74	830.62
394.87	860.12
395.01	828.50
395.14	839.25
395.27	791.12
395.40	906.12
395.54	901.00
395.67	819.75
395.80	804.62
395.93	844.00
396.07	797.00
396.20	788.25
396.33	744.00
396.46	791.00
396.59	813.50
396.73	804.88
396.86	780.75
396.99	868.38
397.12	827.12
397.26	818.00
397.39	805.00
397.52	1099.12
397.65	917.88
397.79	813.25
397.92	804.88
398.05	858.25
398.18	801.50
398.32	810.50
398.45	835.25
398.58	833.12
398.71	837.62
398.84	771.25
398.98	813.38
399.11	845.38
399.24	833.88
399.37	803.12
399.51	776.12
399.64	816.25
399.77	812.88
399.90	813.38
400.03	809.62
400.17	765.38
400.30	874.75
400.43	848.75
400.56	814.62
400.70	814.12
400.83	789.75
400.96	781.62
401.09	819.00
401.23	825.00
401.36	882.00
401.49	797.62
401.62	814.38
401.75	810.75
401.89	785.00
402.02	790.88
402.15	814.75
402.28	831.00
402.41	827.50
402.55	796.88
402.68	806.88
402.81	884.12
402.94	857.75
403.08	793.88
403.21	775.12
403.34	851.88
403.47	852.38
403.60	805.50
403.74	837.38
403.87	851.12
404.00	785.88
404.13	791.62
404.26	762.38
404.40	780.00
404.53	829.38
404.66	803.75
404.79	771.75
404.93	853.00
405.06	824.12
405.19	763.50
405.32	824.12
405.45	835.50
405.59	851.88
405.72	815.00
405.85	788.88
405.98	974.75
406.11	787.62
406.25	787.62
406.38	800.12
406.51	840.25
406.64	811.12
406.77	769.75
406.91	773.38
407.04	839.88
407.17	803.25
407.30	825.25
407.43	808.25
407.57	891.62
407.70	870.62
407.83	783.38
407.96	812.88
408.09	773.00
408.23	899.88
408.36	810.25
408.49	798.75
408.62	927.88
408.75	827.25
408.89	789.75
409.02	831.00
409.15	821.50
409.28	899.25
409.41	845.00
409.55	795.25
409.68	935.12
409.81	831.00
409.94	792.00
410.07	821.38
410.20	816.00
410.34	799.88
410.47	812.38
410.60	825.38
410.73	849.88
410.86	788.50
411.00	812.00
411.13	788.38
411.26	822.75
411.39	817.88
411.52	830.25
411.66	798.00
411.79	801.00
411.92	783.88
412.05	804.00
412.18	801.25
412.31	835.62
412.45	862.88
412.58	849.38
412.71	773.62
412.84	834.62
412.97	894.38
413.11	815.12
413.24	827.50
413.37	857.75
413.50	912.50
413.63	830.00
413.76	797.00
413.90	847.75
414.03	800.50
414.16	799.75
414.29	832.62
414.42	815.88
414.56	918.12
414.69	801.38
414.82	810.25
414.95	817.50
415.08	831.38
415.21	806.50
415.35	828.25
415.48	740.38
415.61	861.50
415.74	865.00
415.87	771.88
416.00	825.12
416.14	934.38
416.27	825.88
416.40	784.25
416.53	813.88
416.66	837.50
416.79	818.25
416.93	777.38
417.06	828.62
417.19	810.88
417.32	805.25
417.45	798.88
417.58	770.75
417.72	856.75
417.85	790.88
417.98	812.38
418.11	852.25
418.24	790.50
418.37	798.00
418.51	816.62
418.64	821.50
418.77	883.38
418.90	825.50
419.03	773.88
419.16	831.50
419.29	861.25
419.43	795.50
419.56	782.88
419.69	922.50
419.82	865.38
419.95	810.62
420.08	855.00
420.22	880.75
420.35	934.00
420.48	855.88
420.61	805.00
420.74	759.00
420.87	848.88
421.00	782.00
421.14	801.25
421.27	862.25
421.40	894.25
421.53	836.75
421.66	804.62
421.79	818.25
421.93	815.75
422.06	809.38
422.19	791.25
422.32	854.62
422.45	856.25
422.58	826.50
422.71	800.62
422.85	861.62
422.98	857.75
423.11	770.50
423.24	758.00
423.37	784.00
423.50	790.25
423.63	815.62
423.77	781.75
423.90	785.88
424.03	837.00
424.16	842.62
424.29	811.12
424.42	760.25
424.55	783.00
424.69	781.50
424.82	819.38
424.95	824.12
425.08	788.12
425.21	833.75
425.34	794.50
425.47	811.12
425.60	828.75
425.74	766.62
425.87	796.25
426.00	807.62
426.13	823.75
426.26	778.25
426.39	790.25
426.52	801.88
426.66	878.50
426.79	835.38
426.92	782.12
427.05	910.00
427.18	870.00
427.31	804.00
427.44	804.88
427.57	789.12
427.71	814.88
427.84	778.38
427.97	815.25
428.10	871.38
428.23	819.50
428.36	796.75
428.49	724.62
428.62	941.62
428.76	909.62
428.89	823.75
429.02	766.25
429.15	811.00
429.28	912.38
429.41	792.00
429.54	797.88
429.67	793.50
429.81	842.88
429.94	813.75
430.07	793.75
430.20	863.25
430.33	878.25
430.46	775.00
430.59	778.25
430.72	811.00
430.85	765.25
430.99	807.25
431.12	782.75
431.25	870.50
431.38	876.38
431.51	813.12
431.64	812.38
431.77	895.25
431.90	884.75
432.03	812.25
432.17	783.75
432.30	823.25
432.43	835.50
432.56	805.88
432.69	830.25
432.82	829.88
432.95	866.00
433.08	813.62
433.21	813.62
433.35	798.75
433.48	817.25
433.61	776.38
433.74	803.50
433.87	797.50
434.00	846.00
434.13	778.12
434.26	836.38
434.39	835.75
434.53	847.12
434.66	808.38
434.79	806.00
434.92	796.75
435.05	881.88
435.18	793.50
435.31	832.75
435.44	877.88
435.57	820.25
435.70	810.25
435.84	784.00
435.97	882.62
436.10	929.88
436.23	798.38
436.36	786.38
436.49	793.25
436.62	828.38
436.75	807.62
436.88	831.75
437.01	790.75
437.14	777.25
437.28	752.88
437.41	793.88
437.54	873.50
437.67	846.12
437.80	780.75
437.93	763.62
438.06	933.12
438.19	861.38
438.32	772.25
438.45	781.62
438.58	839.38
438.72	887.00
438.85	854.38
438.98	803.50
439.11	827.50
439.24	885.00
439.37	866.62
439.50	836.12
439.63	869.25
439.76	795.88
439.89	782.38
440.02	790.75
440.15	838.12
440.29	881.50
440.42	816.12
440.55	803.38
440.68	891.75
440.81	939.00
440.94	819.62
441.07	814.50
441.20	897.50
441.33	825.62
441.46	801.62
441.59	794.62
441.72	814.00
441.85	824.50
441.99	849.38
442.12	849.88
442.25	900.50
442.38	842.75
442.51	835.50
442.64	774.38
442.77	824.12
442.90	801.75
443.03	770.12
443.16	795.25
443.29	820.62
443.42	888.12
443.55	798.38
443.68	825.25
443.82	771.62
443.95	801.88
444.08	807.50
444.21	809.62
444.34	789.50
444.47	809.62
444.60	807.12
444.73	824.25
444.86	816.50
444.99	878.50
445.12	833.25
445.25	816.12
445.38	825.50
445.51	854.75
445.64	821.12
445.78	793.62
445.91	753.88
446.04	925.75
446.17	859.00
446.30	761.88
446.43	834.75
446.56	824.75
446.69	785.12
446.82	787.62
446.95	861.88
447.08	863.62
447.21	824.38
447.34	798.50
447.47	858.38
447.60	853.00
447.73	815.75
447.86	844.50
447.99	823.50
448.13	841.38
448.26	849.62
448.39	808.25
448.52	853.75
448.65	853.25
448.78	807.62
448.91	805.38
449.04	843.75
449.17	799.00
449.30	836.12
449.43	827.75
449.56	815.00
449.69	874.75
449.82	814.75
449.95	764.75
450.08	870.12
450.21	847.88
450.34	811.25
450.47	812.00
450.60	857.25
450.73	820.62
450.87	798.75
451.00	826.38
451.13	850.88
451.26	969.25
451.39	798.25
451.52	829.88
451.65	804.12
451.78	803.12
451.91	799.75
452.04	785.88
452.17	902.75
452.30	901.50
452.43	796.88
452.56	796.00
452.69	863.25
452.82	781.50
452.95	845.50
453.08	787.25
453.21	749.38
453.34	858.38
453.47	790.00
453.60	857.38
453.73	907.38
453.86	840.38
453.99	828.25
454.12	824.12
454.25	806.38
454.38	829.62
454.52	783.00
454.65	800.62
454.78	794.12
454.91	767.00
455.04	793.88
455.17	771.88
455.30	786.75
455.43	877.25
455.56	806.88
455.69	770.88
455.82	841.00
455.95	836.75
456.08	771.62
456.21	772.50
456.34	755.38
456.47	748.38
456.60	794.88
456.73	786.75
456.86	804.75
456.99	836.88
457.12	783.88
457.25	794.00
457.38	869.25
457.51	848.25
457.64	826.25
457.77	799.62
457.90	811.00
458.03	791.50
458.16	798.88
458.29	806.75
458.42	807.12
458.55	760.00
458.68	780.62
458.81	801.62
458.94	871.75
459.07	918.75
459.20	776.25
459.33	782.62
459.46	875.88
459.59	908.50
459.72	870.25
459.85	805.38
459.98	886.00
460.11	845.25
460.24	817.00
460.37	771.38
460.50	855.25
460.63	831.88
460.76	799.50
460.89	816.50
461.02	837.25
461.15	852.38
461.28	809.12
461.41	800.38
461.54	888.38
461.67	782.50
461.80	818.50
461.93	855.75
462.06	839.88
462.19	869.12
462.32	794.38
462.45	794.38
462.58	851.50
462.71	800.12
462.84	807.38
462.97	754.75
463.10	804.75
463.23	823.25
463.36	846.75
463.49	811.75
463.62	762.00
463.75	839.62
463.88	798.50
464.01	804.50
464.14	770.38
464.27	902.88
464.40	800.12
464.53	808.50
464.66	842.75
464.79	836.38
464.92	828.12
465.05	783.00
465.18	809.75
465.31	813.62
465.44	808.25
465.57	794.25
465.70	795.62
465.83	921.12
465.96	820.50
466.09	790.50
466.22	857.75
466.35	844.12
466.48	794.38
466.61	789.12
466.74	802.75
466.87	855.62
467.00	836.25
467.13	835.38
467.26	856.75
467.39	766.25
467.52	768.62
467.65	802.75
467.78	873.75
467.91	813.12
468.04	823.38
468.17	791.50
468.30	800.50
468.43	773.38
468.56	785.38
468.69	829.50
468.82	840.12
468.95	774.75
469.08	797.00
469.21	807.00
469.34	849.00
469.47	913.50
469.60	891.25
469.73	821.75
469.86	830.25
469.99	857.25
470.11	783.12
470.24	789.88
470.37	846.50
470.50	827.88
470.63	793.12
470.76	811.62
470.89	854.50
471.02	926.75
471.15	800.25
471.28	802.75
471.41	915.62
471.54	840.88
471.67	795.25
471.80	753.88
471.93	868.38
472.06	837.38
472.19	802.50
472.32	776.25
472.45	914.62
472.58	860.50
472.71	816.50
472.84	796.00
472.97	792.75
473.10	775.25
473.23	847.00
473.36	762.12
473.49	872.25
473.62	852.75
473.74	829.62
473.87	853.38
474.00	789.62
474.13	789.88
474.26	827.75
474.39	837.50
474.52	816.38
474.65	797.75
474.78	809.38
474.91	761.12
475.04	838.12
475.17	943.75
475.30	838.88
475.43	833.38
475.56	875.50
475.69	818.38
475.82	843.62
475.95	790.25
476.08	885.62
476.21	823.38
476.34	852.62
476.46	848.25
476.59	880.00
476.72	794.88
476.85	799.38
476.98	778.25
477.11	859.88
477.24	819.00
477.37	749.38
477.50	796.75
477.63	824.00
477.76	782.62
477.89	745.12
478.02	773.62
478.15	811.12
478.28	798.25
478.41	829.25
478.54	798.38
478.66	858.12
478.79	807.00
478.92	810.25
479.05	805.88
479.18	826.25
479.31	789.38
479.44	792.12
479.57	784.88
479.70	805.88
479.83	827.50
479.96	796.50
480.09	831.12
480.22	944.25
480.35	920.00
480.48	857.25
480.60	820.50
480.73	799.75
480.86	841.62
480.99	805.62
481.12	799.75
481.25	814.50
481.38	875.38
481.51	796.25
481.64	813.38
481.77	839.38
481.90	805.25
482.03	813.62
482.16	798.62
482.29	870.00
482.41	818.88
482.54	840.00
482.67	788.62
482.80	813.00
482.93	865.75
483.06	784.38
483.19	867.38
483.32	847.12
483.45	809.75
483.58	821.38
483.71	844.88
483.84	855.00
483.97	833.00
484.09	816.62
484.22	796.00
484.35	782.12
484.48	763.00
484.61	791.25
484.74	797.88
484.87	833.38
485.00	777.75
485.13	837.12
485.26	779.88
485.39	845.62
485.52	817.50
485.64	881.62
485.77	845.62
485.90	861.62
486.03	775.88
486.16	828.00
486.29	778.88
486.42	810.62
486.55	828.88
486.68	799.50
486.81	837.50
486.94	827.00
487.06	805.25
487.19	843.50
487.32	838.75
487.45	820.88
487.58	796.50
487.71	811.88
487.84	778.12
487.97	840.38
488.10	857.50
488.23	802.38
488.35	764.88
488.48	805.75
488.61	774.88
488.74	795.38
