Wavelength (nm)	Intensity
377.35	818.80
377.48	601.40
377.62	632.20
377.75	630.40
377.88	851.60
378.02	829.60
378.15	826.40
378.28	798.80
378.41	870.40
378.55	845.40
378.68	826.00
378.81	798.20
378.95	828.80
379.08	823.00
379.21	786.60
379.35	848.60
379.48	856.60
379.61	911.00
379.74	821.20
379.88	809.40
380.01	890.60
380.14	947.80
380.28	868.80
380.41	796.80
380.54	856.40
380.68	864.80
380.81	776.60
380.94	859.60
381.07	911.60
381.21	910.80
381.34	828.40
381.47	773.20
381.61	976.80
381.74	844.00
381.87	789.40
382.00	857.00
382.14	935.40
382.27	884.20
382.40	813.00
382.54	896.00
382.67	894.60
382.80	799.80
382.93	804.00
383.07	827.60
383.20	844.20
383.33	877.80
383.47	804.00
383.60	784.00
383.73	988.80
383.86	873.60
384.00	823.60
384.13	818.40
384.26	872.60
384.40	892.20
384.53	829.80
384.66	877.80
384.79	848.40
384.93	818.80
385.06	819.00
385.19	841.40
385.33	954.00
385.46	876.20
385.59	810.60
385.72	852.40
385.86	777.80
385.99	832.60
386.12	821.00
386.25	799.20
386.39	881.00
386.52	904.00
386.65	826.00
386.79	813.60
386.92	813.00
387.05	918.60
387.18	787.20
387.32	796.60
387.45	874.80
387.58	857.60
387.71	822.20
387.85	811.80
387.98	859.80
388.11	875.40
388.25	838.80
388.38	832.80
388.51	873.20
388.64	883.60
388.78	816.00
388.91	795.40
389.04	836.20
389.17	947.00
389.31	838.40
389.44	855.80
389.57	895.40
389.70	870.20
389.84	820.60
389.97	806.40
390.10	823.80
390.24	856.20
390.37	820.60
390.50	806.00
390.63	916.80
390.77	839.00
390.90	838.80
391.03	833.00
391.16	792.60
391.30	823.20
391.43	822.40
391.56	816.60
391.69	808.80
391.83	885.80
391.96	840.40
392.09	815.80
392.22	932.00
392.36	856.80
392.49	801.80
392.62	822.00
392.75	861.00
392.89	905.00
393.02	801.00
393.15	795.60
393.28	789.60
393.42	928.60
393.55	783.60
393.68	812.40
393.81	769.80
393.95	824.80
394.08	809.80
394.21	812.80
394.34	875.60
394.48	870.60
394.61	872.40
394.74	840.80
394.87	882.60
395.01	867.00
395.14	864.20
395.27	803.60
395.40	933.20
395.54	936.00
395.67	837.20
395.80	816.40
395.93	868.60
396.07	823.00
396.20	811.80
396.33	765.80
396.46	810.80
396.59	831.60
396.73	821.40
396.86	795.80
396.99	900.20
397.12	858.80
397.26	850.60
397.39	829.40
397.52	1142.20
397.65	949.80
397.79	833.20
397.92	819.20
398.05	885.80
398.18	819.00
398.32	828.60
398.45	859.80
398.58	860.40
398.71	861.00
398.84	786.00
398.98	817.60
399.11	866.20
399.24	861.80
399.37	827.20
399.51	791.00
399.64	846.00
399.77	842.60
399.90	826.20
400.03	824.80
400.17	783.60
400.30	901.40
