Wavelength (nm)	Intensity
377.35	834.00
377.48	603.00
377.62	601.50
377.75	622.50
377.88	848.50
378.02	821.00
378.15	822.00
378.28	796.50
378.41	866.00
378.55	847.50
378.68	817.50
378.81	805.00
378.95	841.00
379.08	843.50
379.21	798.00
379.35	842.00
379.48	855.50
379.61	933.00
379.74	841.50
379.88	832.50
380.01	918.50
380.14	985.50
380.28	893.00
380.41	826.50
380.54	876.50
380.68	884.00
380.81	794.00
380.94	871.00
381.07	928.00
381.21	940.00
381.34	836.50
381.47	795.00
381.61	1001.00
381.74	883.00
381.87	819.50
382.00	878.00
382.14	956.50
382.27	902.00
382.40	841.50
382.54	925.00
382.67	925.00
382.80	833.50
382.93	829.00
383.07	853.00
383.20	855.50
383.33	905.00
383.47	838.50
383.60	813.50
383.73	1015.50
383.86	895.00
384.00	849.50
384.13	837.50
384.26	902.50
384.40	923.50
384.53	860.50
384.66	909.50
384.79	887.00
384.93	853.50
385.06	853.50
385.19	870.00
385.33	993.50
385.46	907.50
385.59	830.00
385.72	881.50
385.86	820.00
385.99	850.00
386.12	848.00
386.25	825.50
386.39	914.00
386.52	917.50
386.65	857.00
386.79	850.50
386.92	849.50
387.05	952.00
387.18	816.50
387.32	825.50
387.45	898.00
387.58	877.50
387.71	867.50
387.85	840.50
387.98	887.50
388.11	909.00
388.25	876.00
388.38	871.50
388.51	911.50
388.64	920.50
388.78	844.50
388.91	816.00
389.04	857.50
389.17	984.00
389.31	888.00
389.44	899.50
389.57	945.50
389.70	906.50
389.84	847.50
389.97	844.00
390.10	854.00
390.24	901.50
390.37	866.00
390.50	845.00
390.63	948.00
390.77	882.00
390.90	884.00
391.03	878.00
391.16	843.00
391.30	855.00
391.43	858.50
391.56	860.00
391.69	844.50
391.83	929.00
391.96	881.00
392.09	861.00
392.22	968.00
392.36	900.00
392.49	845.00
392.62	868.50
392.75	910.00
392.89	950.50
393.02	848.50
393.15	840.50
393.28	833.50
393.42	967.00
393.55	830.50
393.68	859.50
393.81	811.00
393.95	867.00
394.08	850.50
394.21	865.00
394.34	929.50
394.48	922.00
394.61	919.00
394.74	885.50
394.87	937.50
395.01	900.50
395.14	916.00
395.27	854.00
395.40	975.00
395.54	992.00
395.67	890.50
395.80	878.00
395.93	915.00
396.07	870.50
396.20	850.50
396.33	807.50
396.46	879.50
396.59	884.00
396.73	870.00
396.86	844.00
396.99	938.00
397.12	908.00
397.26	909.00
397.39	875.00
397.52	1190.00
397.65	1002.50
397.79	889.00
397.92	876.00
398.05	935.00
398.18	869.50
398.32	882.50
398.45	919.50
398.58	905.00
398.71	927.50
398.84	846.50
398.98	874.00
399.11	924.50
399.24	917.00
399.37	880.50
399.51	851.50
399.64	880.50
399.77	904.50
399.90	882.50
400.03	893.50
400.17	861.00
400.30	957.50
400.43	915.00
400.56	882.00
400.70	887.50
400.83	872.50
400.96	866.00
401.09	903.00
401.23	906.00
401.36	971.00
401.49	873.50
401.62	889.50
401.75	890.50
401.89	871.00
402.02	871.50
402.15	891.00
402.28	918.00
402.41	925.00
402.55	893.00
402.68	887.00
402.81	969.00
402.94	949.00
403.08	876.00
403.21	859.50
403.34	939.50
403.47	958.50
403.60	892.50
403.74	918.50
403.87	945.00
404.00	883.50
404.13	882.50
404.26	852.00
404.40	865.50
404.53	912.50
404.66	892.50
404.79	862.50
404.93	947.00
405.06	927.50
405.19	853.50
405.32	892.50
405.45	935.50
405.59	947.50
405.72	899.00
405.85	871.00
405.98	1069.00
406.11	878.00
406.25	877.50
406.38	893.50
406.51	942.50
406.64	918.00
406.77	859.50
406.91	855.50
407.04	918.00
407.17	894.00
407.30	921.00
407.43	900.00
407.57	993.50
407.70	980.00
407.83	884.50
407.96	906.50
408.09	876.50
408.23	1013.00
408.36	902.00
408.49	903.50
408.62	1028.00
408.75	930.00
408.89	893.00
409.02	927.50
409.15	926.50
409.28	1008.00
409.41	945.00
409.55	903.50
409.68	1042.00
409.81	940.50
409.94	890.00
410.07	917.00
410.20	935.00
410.34	911.00
410.47	915.50
410.60	927.00
410.73	944.00
410.86	893.00
411.00	918.00
411.13	887.00
411.26	931.00
411.39	927.50
411.52	940.50
411.66	914.50
411.79	900.00
411.92	894.50
412.05	914.50
412.18	914.50
412.31	943.50
412.45	965.00
412.58	961.50
412.71	884.00
412.84	941.50
412.97	1025.50
413.11	940.50
413.24	956.50
413.37	988.00
413.50	1028.50
413.63	934.50
413.76	916.50
413.90	970.50
414.03	923.50
414.16	916.50
414.29	946.50
414.42	937.50
414.56	1058.50
414.69	924.00
414.82	924.50
414.95	934.00
415.08	949.50
415.21	922.50
415.35	949.00
415.48	866.50
415.61	989.00
415.74	994.50
415.87	879.50
416.00	949.50
416.14	1078.50
416.27	946.00
416.40	903.50
416.53	947.00
416.66	969.00
416.79	943.00
416.93	912.00
417.06	1004.00
417.19	954.50
417.32	937.50
417.45	918.00
417.58	902.50
417.72	1001.50
417.85	927.00
417.98	945.00
418.11	984.00
418.24	924.50
418.37	925.00
418.51	936.00
418.64	953.50
418.77	1017.50
418.90	960.50
419.03	910.50
419.16	973.50
419.29	998.50
419.43	922.00
419.56	911.50
419.69	1067.50
419.82	1007.50
419.95	944.00
420.08	990.00
420.22	1030.50
420.35	1093.00
420.48	982.50
420.61	939.00
420.74	897.00
420.87	976.50
421.00	914.00
421.14	941.00
421.27	1007.50
421.40	1032.50
421.53	983.00
421.66	945.00
421.79	963.50
421.93	958.50
422.06	950.00
422.19	930.00
422.32	1004.00
422.45	1002.00
422.58	964.50
422.71	939.00
422.85	1010.00
422.98	1004.50
423.11	906.00
423.24	902.50
423.37	930.50
423.50	944.00
423.63	954.00
423.77	927.50
423.90	945.50
424.03	1012.50
424.16	993.00
424.29	939.50
424.42	911.00
424.55	945.50
424.69	928.50
424.82	964.00
424.95	987.50
425.08	951.50
425.21	1000.00
425.34	958.00
425.47	978.50
425.60	1008.00
425.74	909.50
425.87	958.50
426.00	970.00
426.13	989.50
426.26	931.50
426.39	934.00
426.52	963.00
426.66	1047.50
426.79	1002.50
426.92	942.00
427.05	1087.50
427.18	1050.50
427.31	965.00
427.44	965.00
427.57	962.50
427.71	973.50
427.84	939.50
427.97	977.00
428.10	1042.00
428.23	984.00
428.36	955.50
428.49	888.00
428.62	1114.00
428.76	1092.50
428.89	994.50
429.02	947.00
429.15	991.50
429.28	1112.00
429.41	979.50
429.54	986.00
429.67	979.50
429.81	1024.50
429.94	983.50
430.07	965.00
430.20	1040.50
430.33	1060.50
430.46	959.50
430.59	957.50
430.72	998.50
430.85	961.00
430.99	1000.00
431.12	949.50
431.25	1048.50
431.38	1068.00
431.51	1002.50
431.64	988.00
431.77	1071.00
431.90	1086.00
432.03	1001.00
432.17	973.50
432.30	1020.50
432.43	1019.50
432.56	998.50
432.69	1024.00
432.82	1024.50
432.95	1068.50
433.08	1011.50
433.21	1020.00
433.35	997.00
433.48	1008.50
433.61	968.00
433.74	999.00
433.87	981.00
434.00	1046.50
434.13	977.00
434.26	1032.50
434.39	1049.50
434.53	1063.00
434.66	1001.50
434.79	1004.00
434.92	1016.00
435.05	1097.00
435.18	999.50
435.31	1026.50
435.44	1087.00
435.57	1025.50
435.70	1006.00
435.84	982.00
435.97	1096.50
436.10	1129.00
436.23	1008.50
436.36	986.50
436.49	1007.00
436.62	1031.00
436.75	1008.00
436.88	1040.00
437.01	1004.50
437.14	994.00
437.28	966.50
437.41	999.00
437.54	1093.00
437.67	1068.00
437.80	1014.00
437.93	986.50
438.06	1163.00
438.19	1079.00
438.32	991.00
438.45	1007.50
438.58	1054.00
438.72	1134.50
438.85	1072.00
438.98	1026.00
439.11	1059.00
439.24	1115.00
439.37	1104.50
439.50	1070.00
439.63	1098.50
439.76	1030.50
439.89	1019.50
440.02	1030.00
440.15	1082.50
440.29	1124.50
440.42	1039.50
440.55	1034.50
440.68	1147.50
440.81	1171.00
440.94	1051.00
441.07	1043.00
441.20	1149.00
441.33	1085.00
441.46	1040.00
441.59	1015.50
441.72	1054.50
441.85	1052.00
441.99	1071.50
442.12	1076.50
442.25	1154.00
442.38	1084.50
442.51	1054.00
442.64	1006.00
442.77	1067.50
442.90	1034.50
443.03	1013.50
443.16	1040.00
443.29	1077.50
443.42	1144.00
443.55	1040.50
443.68	1072.00
443.82	1037.50
443.95	1059.00
444.08	1057.50
444.21	1052.00
444.34	1042.00
444.47	1063.00
444.60	1063.00
444.73	1088.00
444.86	1075.50
444.99	1151.50
445.12	1105.00
445.25	1087.50
445.38	1096.00
445.51	1136.00
445.64	1089.00
445.78	1068.00
445.91	1024.50
446.04	1204.50
446.17	1122.00
446.30	1033.50
446.43	1116.00
446.56	1115.00
446.69	1080.50
446.82	1078.00
446.95	1144.00
447.08	1173.00
447.21	1097.00
447.34	1064.50
447.47	1147.50
447.60	1156.00
447.73	1082.00
447.86	1124.00
447.99	1114.50
448.13	1118.00
448.26	1137.00
448.39	1085.50
448.52	1144.50
448.65	1169.50
448.78	1111.00
448.91	1085.50
449.04	1145.50
449.17	1101.00
449.30	1119.50
449.43	1112.00
449.56	1119.00
449.69	1188.50
449.82	1111.50
449.95	1064.00
450.08	1170.50
450.21	1169.50
450.34	1127.50
450.47	1110.00
450.60	1173.00
450.73	1153.00
450.87	1117.50
451.00	1150.50
451.13	1178.50
451.26	1298.00
451.39	1100.00
451.52	1144.50
451.65	1124.00
451.78	1133.50
451.91	1121.00
452.04	1098.50
452.17	1246.00
452.30	1241.00
452.43	1127.00
452.56	1133.00
452.69	1214.00
452.82	1111.50
452.95	1186.00
453.08	1097.00
453.21	1080.00
453.34	1199.00
453.47	1132.00
453.60	1196.50
453.73	1256.50
453.86	1190.00
453.99	1169.00
454.12	1177.00
454.25	1158.00
454.38	1185.50
454.52	1120.00
454.65	1133.00
454.78	1150.50
454.91	1122.00
455.04	1155.00
455.17	1124.00
455.30	1153.50
455.43	1241.50
455.56	1161.50
455.69	1122.50
455.82	1188.00
455.95	1195.00
456.08	1131.50
456.21	1120.00
456.34	1127.00
456.47	1133.00
456.60	1175.00
456.73	1144.00
456.86	1174.50
456.99	1214.00
457.12	1164.50
457.25	1186.00
457.38	1273.00
457.51	1230.00
457.64	1212.50
457.77	1183.50
457.90	1199.50
458.03	1187.00
458.16	1185.00
458.29	1193.00
458.42	1196.00
458.55	1167.00
458.68	1177.50
458.81	1201.00
458.94	1286.00
459.07	1331.00
459.20	1167.00
459.33	1185.50
459.46	1290.50
459.59	1343.50
459.72	1290.00
459.85	1214.00
459.98	1312.00
460.11	1291.00
460.24	1245.00
460.37	1203.50
460.50	1294.00
460.63	1269.50
460.76	1227.00
460.89	1249.50
461.02	1286.50
461.15	1297.50
461.28	1255.50
461.41	1233.00
461.54	1344.00
461.67	1227.00
461.80	1273.00
461.93	1293.50
462.06	1313.50
462.19	1337.00
462.32	1257.50
462.45	1245.00
462.58	1297.00
462.71	1264.00
462.84	1272.50
462.97	1209.50
463.10	1265.50
463.23	1308.50
463.36	1310.00
463.49	1294.50
463.62	1251.00
463.75	1329.00
463.88	1276.50
464.01	1304.00
464.14	1260.50
464.27	1413.50
464.40	1303.00
464.53	1285.50
464.66	1349.50
464.79	1331.50
464.92	1325.00
465.05	1289.00
465.18	1322.50
465.31	1341.00
465.44	1314.50
465.57	1294.50
465.70	1313.00
465.83	1465.00
465.96	1351.50
466.09	1332.00
466.22	1407.50
466.35	1383.00
466.48	1332.50
466.61	1337.00
466.74	1362.00
466.87	1408.50
467.00	1386.00
467.13	1377.00
467.26	1431.50
467.39	1341.00
467.52	1339.00
467.65	1372.00
467.78	1464.00
467.91	1388.50
468.04	1404.00
468.17	1367.00
468.30	1382.00
468.43	1352.50
468.56	1381.00
468.69	1401.00
468.82	1447.50
468.95	1377.50
469.08	1405.00
469.21	1415.50
469.34	1454.50
469.47	1524.00
469.60	1495.50
469.73	1444.50
469.86	1479.50
469.99	1500.00
470.11	1412.00
470.24	1437.50
470.37	1502.00
470.50	1469.50
470.63	1434.50
