Wavelength (nm)	Coefficient
399,99	1,48198155860746
400,13	1,4847624242531
400,26	1,48749106180854
400,39	1,49016835536251
400,52	1,49279517128492
400,65	1,49537235865229
400,79	1,49790074966128
400,92	1,50038116003045
401,05	1,50281438939082
401,18	1,50520122166557
401,32	1,50754242543906
401,45	1,5098387543158
401,58	1,51209094726941
401,71	1,51429972898207
401,85	1,5164658101747
401,98	1,51858988792814
402,11	1,52067264599567
402,24	1,52271475510709
402,37	1,52471687326462
402,51	1,52667964603097
402,64	1,52860370680963
402,77	1,53048967711783
402,9	1,53233816685227
403,04	1,53414977454785
403,17	1,53592508762964
403,3	1,53766468265834
403,43	1,53936912556924
403,56	1,54103897190517
403,7	1,54267476704329
403,83	1,54427704641624
403,96	1,54584633572747
404,09	1,54738315116123
404,23	1,54888799958717
404,36	1,55036137875982
404,49	1,551803777513
404,62	1,55321567594947
404,75	1,5545975456257
404,89	1,55594984973224
405,02	1,55727304326945
405,15	1,55856757321901
405,28	1,55983387871122
405,42	1,56107239118813
405,55	1,56228353456278
405,68	1,56346772537457
405,81	1,56462537294078
405,94	1,56575687950461
406,08	1,56686264037948
406,21	1,56794304409005
406,34	1,56899847250978
406,47	1,57002930099522
406,6	1,57103589851724
406,74	1,57209854104039
406,87	1,57322364284392
407	1,57429125416709
407,13	1,57507505408775
407,26	1,57538454781076
407,4	1,57558945132653
407,53	1,57597124770927
407,66	1,57675973603021
407,79	1,57737717349667
407,93	1,57824882314215
408,06	1,57921045197034
408,19	1,580202011939
408,32	1,58125642601179
408,45	1,58219121524144
408,59	1,58313323812481
408,72	1,58458614838014
408,85	1,58602183924072
408,98	1,58721697597547
409,11	1,5884221493877
409,25	1,58985844101353
409,38	1,59096468984894
409,51	1,59188635827774
409,64	1,59256844887097
409,77	1,59317522389385
409,91	1,59363523729871
410,04	1,59411767519506
410,17	1,59434694741794
410,3	1,59446884791312
410,43	1,59467872304219
410,57	1,59458208199895
410,7	1,59436766427857
410,83	1,59455988941545
410,96	1,59530204001405
411,09	1,59628981537016
411,23	1,59732117839901
411,36	1,59826614632322
411,49	1,5992381584718
411,62	1,60027161243462
411,75	1,60132949135134
411,88	1,60232202996727
412,02	1,60352300456311
412,15	1,60449053968722
412,28	1,60511854696458
412,41	1,6054712744421
412,54	1,60561843763866
412,68	1,60570497183748
412,81	1,60607089905163
412,94	1,60632935702612
413,07	1,60644396945867
413,2	1,60656248373939
413,34	1,60687731677546
413,47	1,60740129149188
413,6	1,60795046175476
413,73	1,60863216712474
413,86	1,60918057606312
413,99	1,60997058154583
414,13	1,61073570927639
414,26	1,61122879701113
414,39	1,61163359568304
414,52	1,61229938083613
414,65	1,61314631901207
414,79	1,61375663563803
414,92	1,61407332889375
415,05	1,61463806566393
415,18	1,61533928146211
415,31	1,61612083071059
415,44	1,61675987078519
415,58	1,61721942335205
415,71	1,61762376314168
415,84	1,61800918854866
415,97	1,61836120869741
416,1	1,61845663031384
416,24	1,61853544702978
416,37	1,61856382936749
416,5	1,6182111846666
416,63	1,61760480976267
416,76	1,61697679393407
416,89	1,61651578881932
417,03	1,61639879100962
417,16	1,61662641595906
417,29	1,61708784122966
417,42	1,61757515730862
417,55	1,61820808680092
417,68	1,61894177723694
417,82	1,61963451857314
417,95	1,62047580717466
418,08	1,62127874751765
418,21	1,62200091052869
418,34	1,62241491154311
418,47	1,6227578199911
418,61	1,62292309101365
418,74	1,62301117203413
418,87	1,62303591926618
419	1,62267138557429
419,13	1,62232292128125
419,26	1,622182241563
419,4	1,62221203274711
419,53	1,62261626172904
419,66	1,62298643726095
419,79	1,62348218221759
419,92	1,62389321091862
420,05	1,62429703655186
420,19	1,62472624990827
420,32	1,6250149711411
420,45	1,62564867399394
420,58	1,62637346378635
420,71	1,62716680910235
420,84	1,6279607500439
420,98	1,62845534402698
421,11	1,62910319237796
421,24	1,62979347720244
421,37	1,63042897154668
421,5	1,63105444130371
421,63	1,63173290593048
421,77	1,63240762109797
421,9	1,63295038863635
422,03	1,63319888757942
422,16	1,63324377047249
422,29	1,63325216721248
422,42	1,63326086400079
422,55	1,63300738210686
422,69	1,63262345002854
422,82	1,63241000345721
422,95	1,63202967417209
423,08	1,63162447946483
423,21	1,6313722609518
423,34	1,63117346716298
423,48	1,63103625929875
423,61	1,6309583411003
423,74	1,630612830431
423,87	1,63027279844923
424	1,63004803994914
424,13	1,62976234740539
424,26	1,62923282171565
424,4	1,62870683154973
424,53	1,6280694892423
424,66	1,62738856567361
424,79	1,62665228818596
424,92	1,62575708428433
425,05	1,62493146842141
425,18	1,62420600065733
425,32	1,62354814642012
425,45	1,62288149863726
425,58	1,62236072202542
425,71	1,62192614085518
425,84	1,62170224503198
425,97	1,62140431738401
426,1	1,62103304351105
426,24	1,62081917263804
426,37	1,62082409228601
426,5	1,62086054159386
426,63	1,62079455443577
426,76	1,62051258874031
426,89	1,62040192606181
427,02	1,62019209156773
427,16	1,620126660346
427,29	1,61994075880888
427,42	1,61986174212906
427,55	1,61959312307248
427,68	1,61920108709618
427,81	1,61875025527389
427,94	1,61810853998673
428,07	1,61754407315366
428,21	1,6171595487959
428,34	1,61658093835255
428,47	1,61600595554452
428,6	1,61521034349546
428,73	1,61445133099108
428,86	1,6137028543126
428,99	1,61322100100192
429,13	1,61282226563978
429,26	1,61231978467694
429,39	1,61194726837942
429,52	1,61171920375122
429,65	1,61157063471099
429,78	1,6117775363191
429,91	1,6122188151689
430,04	1,61282206146948
430,18	1,6134230031978
430,31	1,61402505693635
430,44	1,61463204345929
430,57	1,61520153922638
430,7	1,61584080915269
430,83	1,61636404185971
430,96	1,61669961162692
431,09	1,61707184173539
431,23	1,61720713624832
431,36	1,61724948046009
431,49	1,6173240059176
431,62	1,61741056173372
431,75	1,61745888040298
431,88	1,61735512584974
432,01	1,61729753261828
432,14	1,6173567788825
432,28	1,6176714627316
432,41	1,61805419431344
432,54	1,61831861282033
432,67	1,61848525482626
432,8	1,61856844236454
432,93	1,61856764978793
433,06	1,61861323081045
433,19	1,61870127233369
433,32	1,61892321008989
433,46	1,61906128779486
433,59	1,61915471890158
433,72	1,61898032956528
433,85	1,61878763035919
433,98	1,61853054428574
434,11	1,61829396213842
434,24	1,61792953439432
434,37	1,61754020817264
434,5	1,61695940979019
434,64	1,61631377910962
434,77	1,61554611998734
434,9	1,61470669089997
435,03	1,61382914629773
435,16	1,61308335154284
435,29	1,6123088843129
435,42	1,61145280842349
435,55	1,61057137149771
435,68	1,60971566006697
435,82	1,60899635005245
435,95	1,60849804544643
436,08	1,60790629821827
436,21	1,60742015075959
436,34	1,60686919659986
436,47	1,60607502594054
436,6	1,60513982126751
436,73	1,60427268655367
436,86	1,6035240953943
436,99	1,60280833850684
437,13	1,60217333267324
437,26	1,60136979191707
437,39	1,6004716264212
437,52	1,59959099267604
437,65	1,59869530268745
437,78	1,59797161409045
437,91	1,59740491263894
438,04	1,59686751276806
438,17	1,59638310357452
438,3	1,59587146256412
438,44	1,59540371601423
438,57	1,59490045636252
438,7	1,59449915103517
438,83	1,59408721619168
438,96	1,59377092748074
439,09	1,59337105561739
439,22	1,59302723195413
439,35	1,59268254824506
439,48	1,59231038157561
439,61	1,59185279933339
439,74	1,59137281509028
439,88	1,59083320793234
440,01	1,59033535804327
440,14	1,58970456120309
440,27	1,58901245674189
440,4	1,58826012405396
440,53	1,58753271847753
440,66	1,58674936071251
440,79	1,58613531420355
440,92	1,58560803175136
441,05	1,58510444900158
441,18	1,58462192218873
441,32	1,58422005922784
441,45	1,58379702889861
441,58	1,58343969079603
441,71	1,58320115912928
441,84	1,58296983535287
441,97	1,58270365365349
442,1	1,58246794240562
442,23	1,58216234827481
442,36	1,58191430465603
442,49	1,58174749557646
442,62	1,58162682061128
442,75	1,58144826271574
442,88	1,58126425633305
443,02	1,58103560818095
443,15	1,58072324890424
443,28	1,58039658942956
443,41	1,5801413742833
443,54	1,57981763016708
443,67	1,57936774443979
443,8	1,57881463841181
443,93	1,57815536838064
444,06	1,57752709071815
444,19	1,57694358867293
444,32	1,57628554681586
444,45	1,57566965347818
444,58	1,57501226288388
444,72	1,57429222809564
444,85	1,57351537935843
444,98	1,57274408332679
445,11	1,57214860377065
445,24	1,57163208609646
445,37	1,57109062722729
445,5	1,5703950572724
445,63	1,56965043695694
445,76	1,56885504011302
445,89	1,56806792034421
446,02	1,56730554546613
446,15	1,56654049038317
446,28	1,56573795193225
446,41	1,56488323827846
