Wavelength (nm)	Intensity
377.35	838.00
377.48	601.00
377.62	598.00
377.75	607.00
377.88	822.00
378.02	823.00
378.15	824.00
378.28	784.00
378.41	865.00
378.55	823.00
378.68	797.00
378.81	791.00
378.95	829.00
379.08	811.00
379.21	775.00
379.35	841.00
379.48	842.00
379.61	907.00
379.74	838.00
379.88	826.00
380.01	900.00
380.14	958.00
380.28	875.00
380.41	804.00
380.54	855.00
380.68	880.00
380.81	793.00
380.94	882.00
381.07	906.00
381.21	932.00
381.34	845.00
381.47	772.00
381.61	998.00
381.74	849.00
381.87	818.00
382.00	885.00
382.14	953.00
382.27	894.00
382.40	846.00
382.54	928.00
382.67	920.00
382.80	811.00
382.93	828.00
383.07	854.00
383.20	870.00
383.33	892.00
383.47	855.00
383.60	815.00
383.73	1014.00
383.86	879.00
384.00	831.00
384.13	834.00
384.26	904.00
384.40	912.00
384.53	865.00
384.66	921.00
384.79	882.00
384.93	857.00
385.06	848.00
385.19	885.00
385.33	993.00
385.46	899.00
385.59	842.00
385.72	876.00
385.86	817.00
385.99	854.00
386.12	856.00
386.25	824.00
386.39	894.00
386.52	904.00
386.65	848.00
386.79	843.00
386.92	853.00
387.05	948.00
387.18	809.00
387.32	840.00
387.45	896.00
387.58	880.00
387.71	850.00
387.85	843.00
387.98	885.00
388.11	894.00
388.25	884.00
388.38	872.00
388.51	907.00
388.64	905.00
388.78	844.00
388.91	825.00
389.04	868.00
389.17	970.00
389.31	883.00
389.44	894.00
389.57	941.00
389.70	918.00
389.84	859.00
389.97	854.00
390.10	846.00
390.24	900.00
390.37	860.00
390.50	853.00
390.63	936.00
390.77	876.00
390.90	870.00
391.03	870.00
391.16	822.00
391.30	860.00
391.43	862.00
391.56	853.00
391.69	838.00
391.83	922.00
391.96	881.00
392.09	874.00
392.22	961.00
392.36	906.00
392.49	833.00
392.62	875.00
392.75	902.00
392.89	931.00
393.02	841.00
393.15	863.00
393.28	825.00
393.42	985.00
393.55	831.00
393.68	845.00
393.81	833.00
393.95	858.00
394.08	866.00
394.21	850.00
394.34	917.00
394.48	912.00
394.61	919.00
394.74	895.00
394.87	925.00
395.01	922.00
395.14	907.00
395.27	870.00
395.40	969.00
395.54	984.00
395.67	887.00
395.80	856.00
395.93	918.00
396.07	881.00
396.20	857.00
396.33	815.00
396.46	864.00
396.59	884.00
396.73	879.00
396.86	869.00
396.99	955.00
397.12	910.00
397.26	910.00
397.39	881.00
397.52	1207.00
397.65	1007.00
397.79	903.00
397.92	897.00
398.05	949.00
398.18	882.00
398.32	887.00
398.45	929.00
398.58	923.00
398.71	926.00
398.84	858.00
398.98	895.00
399.11	937.00
399.24	930.00
399.37	899.00
399.51	883.00
399.64	910.00
399.77	898.00
399.90	914.00
400.03	909.00
400.17	865.00
400.30	963.00
400.43	934.00
400.56	899.00
400.70	918.00
400.83	893.00
400.96	868.00
401.09	912.00
401.23	931.00
401.36	968.00
401.49	897.00
401.62	898.00
401.75	893.00
401.89	902.00
402.02	915.00
402.15	908.00
402.28	925.00
402.41	920.00
402.55	891.00
402.68	912.00
402.81	976.00
402.94	968.00
403.08	893.00
403.21	878.00
403.34	964.00
403.47	954.00
403.60	916.00
403.74	942.00
403.87	963.00
404.00	899.00
404.13	908.00
404.26	869.00
404.40	909.00
404.53	933.00
404.66	919.00
404.79	874.00
404.93	973.00
405.06	953.00
405.19	886.00
405.32	931.00
405.45	928.00
405.59	973.00
405.72	941.00
405.85	929.00
405.98	1109.00
406.11	905.00
406.25	910.00
406.38	911.00
406.51	978.00
406.64	938.00
406.77	878.00
406.91	898.00
407.04	970.00
407.17	952.00
407.30	971.00
407.43	944.00
407.57	1021.00
407.70	1010.00
407.83	925.00
407.96	955.00
408.09	922.00
408.23	1025.00
408.36	959.00
408.49	940.00
408.62	1089.00
408.75	965.00
408.89	929.00
409.02	977.00
409.15	977.00
409.28	1050.00
409.41	990.00
409.55	939.00
409.68	1090.00
409.81	973.00
409.94	941.00
410.07	955.00
410.20	967.00
410.34	958.00
410.47	956.00
410.60	975.00
410.73	1017.00
410.86	943.00
411.00	962.00
411.13	940.00
411.26	986.00
411.39	979.00
411.52	980.00
411.66	953.00
411.79	962.00
411.92	944.00
412.05	983.00
412.18	944.00
412.31	1005.00
412.45	1020.00
412.58	1026.00
412.71	935.00
412.84	1000.00
412.97	1052.00
413.11	995.00
413.24	1006.00
413.37	1031.00
413.50	1084.00
413.63	1002.00
413.76	967.00
413.90	1019.00
414.03	984.00
414.16	979.00
414.29	1006.00
414.42	988.00
414.56	1107.00
414.69	978.00
414.82	1024.00
414.95	1016.00
415.08	1021.00
415.21	983.00
415.35	1000.00
415.48	939.00
415.61	1062.00
415.74	1057.00
415.87	969.00
416.00	1038.00
416.14	1152.00
416.27	1028.00
416.40	988.00
416.53	1016.00
416.66	1032.00
416.79	1028.00
416.93	979.00
417.06	1035.00
417.19	1006.00
417.32	998.00
417.45	1016.00
417.58	993.00
417.72	1070.00
417.85	992.00
417.98	1016.00
418.11	1076.00
418.24	1008.00
418.37	1002.00
418.51	1020.00
418.64	1027.00
418.77	1117.00
418.90	1064.00
419.03	992.00
419.16	1041.00
419.29	1096.00
419.43	1029.00
419.56	1018.00
419.69	1150.00
419.82	1083.00
419.95	1049.00
420.08	1049.00
420.22	1102.00
420.35	1169.00
420.48	1095.00
420.61	1059.00
420.74	1009.00
420.87	1077.00
421.00	1010.00
421.14	1013.00
421.27	1109.00
421.40	1143.00
421.53	1079.00
421.66	1060.00
421.79	1058.00
421.93	1064.00
422.06	1064.00
422.19	1037.00
422.32	1133.00
422.45	1131.00
422.58	1072.00
422.71	1054.00
422.85	1136.00
422.98	1117.00
423.11	1020.00
423.24	1002.00
423.37	1050.00
423.50	1034.00
423.63	1070.00
423.77	1050.00
423.90	1068.00
424.03	1101.00
424.16	1109.00
424.29	1058.00
424.42	1042.00
424.55	1037.00
424.69	1032.00
424.82	1075.00
424.95	1111.00
425.08	1065.00
425.21	1111.00
425.34	1075.00
425.47	1088.00
425.60	1113.00
425.74	1042.00
425.87	1077.00
426.00	1088.00
426.13	1116.00
426.26	1070.00
426.39	1069.00
426.52	1093.00
426.66	1169.00
426.79	1101.00
426.92	1057.00
427.05	1187.00
427.18	1174.00
427.31	1088.00
427.44	1095.00
427.57	1062.00
427.71	1120.00
427.84	1061.00
427.97	1105.00
428.10	1161.00
428.23	1131.00
428.36	1095.00
428.49	1035.00
428.62	1266.00
428.76	1236.00
428.89	1137.00
429.02	1073.00
429.15	1128.00
429.28	1212.00
429.41	1109.00
429.54	1119.00
429.67	1103.00
429.81	1158.00
429.94	1134.00
430.07	1104.00
430.20	1179.00
430.33	1217.00
430.46	1110.00
430.59	1100.00
430.72	1126.00
430.85	1077.00
430.99	1126.00
431.12	1107.00
431.25	1216.00
431.38	1227.00
431.51	1129.00
431.64	1145.00
431.77	1213.00
431.90	1222.00
432.03	1152.00
432.17	1145.00
432.30	1160.00
432.43	1171.00
432.56	1161.00
432.69	1173.00
432.82	1178.00
432.95	1220.00
433.08	1160.00
433.21	1183.00
433.35	1144.00
433.48	1153.00
433.61	1126.00
433.74	1176.00
433.87	1137.00
434.00	1200.00
434.13	1153.00
434.26	1186.00
434.39	1186.00
434.53	1231.00
434.66	1163.00
434.79	1174.00
434.92	1160.00
435.05	1259.00
435.18	1172.00
435.31	1222.00
435.44	1270.00
435.57	1224.00
435.70	1172.00
435.84	1146.00
435.97	1268.00
436.10	1312.00
436.23	1173.00
436.36	1157.00
436.49	1178.00
436.62	1221.00
436.75	1188.00
436.88	1202.00
437.01	1189.00
437.14	1185.00
437.28	1146.00
437.41	1176.00
437.54	1254.00
437.67	1229.00
437.80	1177.00
437.93	1146.00
438.06	1323.00
438.19	1271.00
438.32	1162.00
438.45	1186.00
438.58	1251.00
438.72	1286.00
438.85	1259.00
438.98	1198.00
439.11	1258.00
439.24	1292.00
439.37	1266.00
439.50	1246.00
439.63	1320.00
439.76	1215.00
439.89	1202.00
440.02	1221.00
440.15	1262.00
440.29	1317.00
440.42	1229.00
440.55	1244.00
440.68	1323.00
440.81	1354.00
440.94	1249.00
441.07	1237.00
441.20	1362.00
441.33	1280.00
441.46	1212.00
441.59	1234.00
441.72	1245.00
441.85	1253.00
441.99	1286.00
442.12	1298.00
442.25	1369.00
442.38	1259.00
442.51	1279.00
442.64	1208.00
442.77	1285.00
442.90	1245.00
443.03	1207.00
443.16	1234.00
443.29	1275.00
443.42	1337.00
443.55	1271.00
443.68	1282.00
443.82	1243.00
443.95	1271.00
444.08	1283.00
444.21	1276.00
444.34	1306.00
444.47	1269.00
444.60	1296.00
444.73	1288.00
444.86	1306.00
444.99	1373.00
445.12	1328.00
445.25	1299.00
445.38	1316.00
445.51	1352.00
445.64	1325.00
445.78	1275.00
445.91	1257.00
446.04	1428.00
446.17	1357.00
446.30	1260.00
446.43	1342.00
446.56	1333.00
446.69	1271.00
446.82	1297.00
446.95	1390.00
447.08	1374.00
447.21	1322.00
447.34	1308.00
447.47	1395.00
447.60	1369.00
447.73	1323.00
447.86	1368.00
447.99	1343.00
448.13	1357.00
448.26	1397.00
448.39	1332.00
448.52	1371.00
448.65	1377.00
448.78	1334.00
448.91	1363.00
449.04	1366.00
449.17	1362.00
449.30	1378.00
449.43	1378.00
449.56	1374.00
449.69	1438.00
449.82	1371.00
449.95	1321.00
450.08	1442.00
450.21	1401.00
450.34	1369.00
450.47	1382.00
450.60	1405.00
450.73	1398.00
450.87	1356.00
451.00	1406.00
451.13	1462.00
451.26	1573.00
451.39	1346.00
451.52	1395.00
451.65	1380.00
451.78	1342.00
451.91	1391.00
452.04	1383.00
452.17	1507.00
452.30	1498.00
452.43	1394.00
452.56	1410.00
452.69	1475.00
452.82	1413.00
452.95	1467.00
453.08	1386.00
453.21	1343.00
453.34	1457.00
453.47	1404.00
453.60	1456.00
453.73	1538.00
453.86	1490.00
