Wavelength (nm)	Intensity
377.35	405.80
377.48	526.60
377.62	683.80
377.75	665.60
377.88	703.20
378.02	731.40
378.15	766.00
378.28	760.60
378.41	762.40
378.55	757.00
378.68	759.20
378.81	753.20
378.95	745.00
379.08	751.20
379.21	757.60
379.35	770.60
379.48	773.80
379.61	783.00
379.74	787.40
379.88	807.40
380.01	805.60
380.14	803.60
380.28	803.20
380.41	799.20
380.54	772.00
380.68	770.80
380.81	786.60
380.94	799.80
381.07	794.20
381.21	794.80
381.34	809.40
381.47	798.40
381.61	782.40
381.74	786.40
381.87	808.20
382.00	791.40
382.14	788.00
382.27	806.00
382.40	816.40
382.54	795.80
382.67	785.20
382.80	790.00
382.93	774.80
383.07	765.40
383.20	771.00
383.33	769.40
383.47	791.00
383.60	800.20
383.73	796.00
383.86	796.60
384.00	805.60
384.13	792.00
384.26	786.80
384.40	797.80
384.53	800.80
384.66	793.60
384.79	781.20
384.93	786.00
385.06	795.20
385.19	798.80
385.33	802.20
385.46	811.60
385.59	796.80
385.72	774.60
385.86	770.80
385.99	770.20
386.12	769.20
386.25	784.20
386.39	786.60
386.52	785.20
386.65	786.20
386.79	795.80
386.92	779.00
387.05	774.00
387.18	778.40
387.32	781.20
387.45	766.80
387.58	774.60
387.71	780.40
387.85	779.00
387.98	782.20
388.11	784.00
388.25	794.40
388.38	800.20
388.51	794.80
388.64	788.80
388.78	788.60
388.91	799.40
389.04	795.80
389.17	806.00
389.31	820.60
389.44	822.60
389.57	803.20
389.70	801.20
389.84	787.00
389.97	775.40
390.10	773.80
390.24	772.20
390.37	780.60
390.50	790.40
390.63	794.20
390.77	791.20
390.90	786.40
391.03	775.00
391.16	770.60
391.30	767.60
391.43	763.20
391.56	779.80
391.69	786.40
391.83	786.00
391.96	798.00
392.09	806.20
392.22	792.00
392.36	791.60
392.49	798.40
392.62	796.60
392.75	790.40
392.89	791.40
393.02	779.00
393.15	792.40
393.28	775.40
393.42	779.80
393.55	777.00
393.68	783.00
393.81	763.60
393.95	771.40
394.08	780.00
394.21	791.00
394.34	804.40
394.48	811.40
394.61	817.80
394.74	811.40
394.87	818.60
395.01	808.40
395.14	820.00
395.27	831.00
395.40	830.80
395.54	819.60
395.67	826.20
395.80	804.00
395.93	780.20
396.07	768.00
396.20	766.20
396.33	761.00
396.46	769.00
396.59	770.80
396.73	791.00
396.86	797.00
396.99	799.60
397.12	800.40
397.26	856.80
397.39	866.80
397.52	868.40
397.65	867.40
397.79	873.40
397.92	814.80
398.05	795.40
398.18	797.40
398.32	799.80
398.45	795.80
398.58	796.20
398.71	797.80
398.84	797.00
398.98	799.60
399.11	793.60
399.24	792.60
399.37	791.20
399.51	789.00
399.64	785.80
399.77	789.20
399.90	787.80
400.03	799.40
400.17	805.80
400.30	806.00
400.43	806.60
400.56	818.00
400.70	802.20
400.83	796.00
400.96	792.00
401.09	799.20
401.23	796.20
401.36	801.60
401.49	798.00
401.62	793.80
401.75	783.20
401.89	787.00
402.02	789.80
402.15	792.00
402.28	796.40
402.41	800.00
402.55	805.60
402.68	810.80
402.81	808.80
402.94	805.40
403.08	809.80
403.21	803.20
403.34	796.40
403.47	806.40
403.60	820.80
403.74	809.80
403.87	804.60
404.00	797.20
404.13	779.80
404.26	771.80
404.40	775.40
404.53	772.60
404.66	783.40
404.79	788.20
404.93	780.40
405.06	785.60
405.19	795.60
405.32	797.60
405.45	803.00
405.59	806.60
405.72	828.60
405.85	820.00
405.98	806.40
406.11	803.80
406.25	808.80
406.38	785.80
406.51	788.80
406.64	791.00
406.77	799.00
406.91	799.60
407.04	804.80
407.17	806.80
407.30	821.20
407.43	823.20
407.57	816.80
407.70	813.40
407.83	812.40
407.96	818.40
408.09	812.40
408.23	818.40
408.36	835.40
408.49	841.00
408.62	822.20
408.75	828.40
408.89	828.80
409.02	822.00
409.15	829.40
409.28	836.20
409.41	850.00
409.55	851.80
409.68	834.80
409.81	827.80
409.94	827.40
410.07	804.80
410.20	808.80
410.34	819.20
410.47	822.00
410.60	819.40
410.73	824.40
410.86	813.80
411.00	811.20
411.13	808.20
411.26	818.20
411.39	817.80
411.52	825.00
411.66	819.40
411.79	822.60
411.92	817.40
412.05	822.00
412.18	831.80
412.31	847.80
412.45	840.40
412.58	845.00
412.71	858.00
412.84	851.60
412.97	851.00
413.11	863.40
413.24	882.40
413.37	872.80
413.50	872.40
413.63	869.20
413.76	867.40
413.90	850.60
414.03	854.80
414.16	857.00
414.29	873.80
414.42	873.00
414.56	878.80
414.69	874.40
414.82	877.40
414.95	863.20
415.08	871.40
415.21	852.60
415.35	861.00
415.48	871.60
415.61	864.40
415.74	861.80
415.87	897.80
416.00	895.00
416.14	885.80
416.27	896.40
416.40	901.80
416.53	882.60
416.66	877.20
416.79	882.20
416.93	883.40
417.06	878.20
417.19	880.00
417.32	879.80
417.45	889.80
417.58	893.20
417.72	894.20
417.85	903.20
417.98	909.40
418.11	900.40
418.24	901.80
418.37	911.80
418.51	927.80
418.64	938.80
418.77	937.00
418.90	940.00
419.03	948.20
419.16	929.20
419.29	920.20
419.43	948.80
419.56	958.20
419.69	949.40
419.82	966.80
419.95	985.00
420.08	989.60
420.22	993.60
420.35	995.60
420.48	975.00
420.61	970.20
420.74	944.40
420.87	935.40
421.00	947.00
421.14	968.40
421.27	971.60
421.40	980.80
421.53	981.00
421.66	971.60
421.79	965.00
421.93	955.80
422.06	958.40
422.19	964.60
422.32	972.20
422.45	976.00
422.58	986.80
422.71	989.80
422.85	977.40
422.98	959.00
423.11	948.60
423.24	940.20
423.37	937.60
423.50	945.80
423.63	959.80
423.77	969.40
423.90	980.00
424.03	974.00
424.16	969.40
424.29	966.00
424.42	961.00
424.55	965.00
424.69	975.60
424.82	985.40
424.95	999.80
425.08	1000.00
425.21	997.20
425.34	998.80
425.47	994.40
425.60	988.40
425.74	993.20
425.87	996.60
426.00	989.00
426.13	988.40
426.26	987.20
426.39	1004.40
426.52	1006.80
426.66	1005.80
426.79	1031.60
426.92	1042.20
427.05	1026.60
427.18	1019.20
427.31	1022.40
427.44	1005.60
427.57	996.20
427.71	1000.00
427.84	1013.00
427.97	1019.00
428.10	1018.40
428.23	1008.60
428.36	1031.40
428.49	1043.20
428.62	1051.00
428.76	1054.00
428.89	1070.80
429.02	1064.80
429.15	1046.00
429.28	1038.40
429.41	1040.00
429.54	1046.80
429.67	1032.80
429.81	1032.60
429.94	1041.80
430.07	1052.00
430.20	1043.80
430.33	1040.80
430.46	1041.80
430.59	1027.80
430.72	1021.80
430.85	1024.40
430.99	1038.20
431.12	1052.60
431.25	1061.20
431.38	1063.80
431.51	1080.20
431.64	1087.40
431.77	1084.20
431.90	1088.20
432.03	1090.20
432.17	1083.80
432.30	1075.60
432.43	1076.80
432.56	1082.60
432.69	1088.20
432.82	1084.80
432.95	1085.60
433.08	1078.80
433.21	1074.00
433.35	1061.20
433.48	1065.20
433.61	1058.40
433.74	1067.00
433.87	1064.80
434.00	1076.80
434.13	1076.80
434.26	1089.40
434.39	1083.20
434.53	1091.80
434.66	1085.40
434.79	1093.20
434.92	1087.40
435.05	1099.60
435.18	1110.60
435.31	1116.80
435.44	1112.40
435.57	1112.00
435.70	1117.20
435.84	1128.20
435.97	1124.80
436.10	1119.80
436.23	1123.60
436.36	1115.00
436.49	1096.80
436.62	1106.60
436.75	1110.40
436.88	1107.60
437.01	1097.00
437.14	1093.00
437.28	1100.40
437.41	1109.80
437.54	1113.80
437.67	1117.80
437.80	1148.40
437.93	1148.00
