Wavelength (nm)	Intensity
400,03	881,36329549734
400,17	881,997141658006
400,3	882,630800864237
400,43	883,264273116034
400,56	883,897558413395
400,7	884,530656756321
400,83	885,163568144812
400,96	885,796292578868
401,09	886,42883005849
401,23	887,061180583676
401,36	887,693344154427
401,49	888,325320770743
401,62	888,957110432624
401,75	889,58871314007
401,89	890,220128893081
402,02	890,851357691657
402,15	891,482399535798
402,28	892,113254425504
402,41	892,743922360775
402,55	893,374403341611
402,68	894,004697368012
402,81	894,634804439978
402,94	895,264724557509
403,08	895,894457720605
403,21	896,524003929266
403,34	897,153363183491
403,47	897,782535483282
403,6	898,411520828638
403,74	899,040319219559
403,87	899,668930656044
404	900,297355138095
404,13	900,925592665711
404,26	901,553643238892
404,4	902,181506857637
404,53	902,809183521948
404,66	903,436673231824
404,79	904,063975987264
404,93	904,69109178827
405,06	905,31802063484
405,19	905,944762526976
405,32	906,571317464676
405,45	907,197685447942
405,59	907,823866476772
405,72	908,449860551168
405,85	909,075667671128
405,98	909,701287836653
406,11	910,326721047744
406,25	910,951967304399
406,38	911,57702660662
406,51	912,201898954405
406,64	912,826584347755
406,77	913,07252031611
406,91	911,8302980667
407,04	913,345698804832
407,17	914,98294809481
407,3	915,490204550552
407,43	916,7223338897
407,57	917,519188165418
407,7	917,665465090199
407,83	918,60430727733
407,96	918,097105030892
408,09	920,189086656239
408,23	920,990683392611
408,36	922,071003009038
408,49	922,624525943857
408,62	923,026361352641
408,75	923,455231352262
408,89	925,292916303281
409,02	925,737483808575
409,15	926,075484991218
409,28	927,220231419259
409,41	927,700865245748
409,55	927,950158042989
409,68	929,324427254376
409,81	930,38897682778
409,94	930,701593130187
410,07	931,666601190216
410,2	932,962101013985
410,34	934,119005782132
410,47	934,590650709731
410,6	936,012178713017
410,73	936,709473263831
410,86	937,489997611412
411	938,344503910586
411,13	937,841231212442
411,26	938,856709410747
411,39	939,436713797594
411,52	938,960587458746
411,66	940,137984503305
411,79	940,919044366573
411,92	940,567076070714
412,05	940,980032490628
412,18	940,54919678764
412,31	941,262405669693
412,45	942,302434053114
412,58	942,125958683247
412,71	944,341270542589
412,84	944,83447207245
412,97	945,467349179578
413,11	944,212795032902
413,24	944,45622790046
413,37	944,95314042278
413,5	944,242408722426
413,63	943,110236429468
413,76	942,280406153237
413,9	942,251728481586
414,03	943,207457132121
414,16	944,538835341787
414,29	945,747711394441
414,42	947,659131753952
414,56	948,007431224676
414,69	948,101163964941
414,82	947,178804196925
414,95	948,660998715406
415,08	949,31279174131
415,21	949,860506718633
415,35	952,101815804881
415,48	952,913109050711
415,61	953,539575856615
415,74	953,804147906053
415,87	953,988718166962
416	955,577836970104
416,14	956,861264099226
416,27	956,797774010412
416,4	958,848236074093
416,53	960,688756716449
416,66	961,795323009971
416,79	963,108459424584
416,93	964,280573098086
417,06	964,81800108943
417,19	965,661534190312
417,32	966,684501259834
417,45	967,279131014073
417,58	966,965175832147
417,72	967,615823489145
417,85	968,418344609219
417,98	969,369042356663
418,11	970,202916722741
418,24	970,679260825111
418,37	970,638834036802
418,51	971,04656952103
418,64	970,394225307968
418,77	970,654234617636
418,9	970,558042749906
419,03	970,653693480028
419,16	971,760131570439
419,29	972,54935791249
419,43	972,041711097324
419,56	972,135920494962
419,69	973,657462153982
419,82	973,984609958084
419,95	974,194897095535
420,08	973,778623870154
420,22	974,93307794663
420,35	975,802724429725
420,48	974,476529060674
420,61	974,328442407347
420,74	974,631861013286
420,87	974,834363624712
421	975,941516450674
421,14	976,262372864471
421,27	978,282097605877
421,4	978,316014459699
421,53	977,898957427782
421,66	978,219880541452
421,79	979,19794310499
421,93	980,700930192049
422,06	979,420408763207
422,19	977,387083283087
422,32	978,273477050618
422,45	979,937235226436
422,58	979,99743449879
422,71	979,333053122788
422,85	981,652503834849
422,98	982,459862545478
423,11	983,027371311889
423,24	983,194034558796
423,37	984,233289727031
423,5	985,210196796379
423,63	984,734316820032
423,77	985,253356479337
423,9	986,494458865305
424,03	987,479666430721
424,16	987,872124299809
424,29	988,338490050947
424,42	989,461792256895
424,55	990,064982566219
424,69	989,593324472253
424,82	989,483467630259
424,95	989,659505923408
425,08	989,965802545303
425,21	989,431119566325
425,34	989,082613587573
425,47	990,724536185657
425,6	992,138278748264
425,74	992,182874537939
425,87	992,635313956639
426	993,950078170924
426,13	993,929718950536
426,26	993,778570156045
426,39	995,300715725941
426,52	996,858561609559
426,66	997,570192543527
426,79	999,209752256779
426,92	1001,22347463873
427,05	1004,57757319421
427,18	1006,31410407837
427,31	1007,74913875659
427,44	1007,60294062028
427,57	1009,44312614368
427,71	1009,47401960973
427,84	1010,0352471519
427,97	1011,18259724031
428,1	1013,38093788214
428,23	1014,94570823684
428,36	1016,24542972161
428,49	1016,43203204204
428,62	1017,86190782379
428,76	1018,78259016193
428,89	1018,78054798295
429,02	1020,48896615487
429,15	1022,4329353479
429,28	1024,41017801392
429,41	1024,64831161757
429,54	1025,19239975648
429,67	1027,51464174961
429,81	1028,76584913443
429,94	1029,56005080702
430,07	1030,10345930515
430,2	1031,12481798665
430,33	1032,08122582355
430,46	1033,43872370732
430,59	1034,62299162538
430,72	1036,76129798805
430,85	1038,48733533159
430,99	1038,65006983999
431,12	1038,51222500502
431,25	1039,35153589728
431,38	1040,4033378367
431,51	1039,70131828523
431,64	1040,05579064314
431,77	1040,97782677491
431,9	1042,4948622804
432,03	1042,77193256025
432,17	1042,57588481761
432,3	1043,12907651348
432,43	1043,40257923851
432,56	1043,6735281198
432,69	1043,34934237501
432,82	1043,46113024506
432,95	1043,39642364236
433,08	1043,17958641301
433,21	1044,23692089403
433,35	1046,40841204897
433,48	1047,88173734849
433,61	1048,0024196342
433,74	1049,31084862467
433,87	1051,32930501982
434	1052,20093207962
434,13	1052,05825336514
434,26	1050,93438697462
434,39	1051,87347754581
434,53	1052,69868518114
434,66	1052,53806470744
434,79	1054,20596458481
434,92	1055,77096727925
435,05	1056,90454423112
435,18	1056,79281277254
435,31	1059,7050952202
435,44	1061,79034986411
435,57	1062,74152868491
435,7	1062,32978109461
435,84	1063,24295262148
435,97	1065,72080519314
436,1	1067,6332882531
436,23	1068,91034828531
436,36	1070,18422494677
436,49	1072,47412936245
436,62	1073,9367562096
436,75	1074,70232187102
436,88	1075,50457333695
437,01	1077,87348604569
437,14	1078,52457750824
437,28	1079,76499922808
437,41	1081,02432106706
437,54	1081,35314431443
437,67	1082,18831268952
437,8	1082,81292624797
437,93	1084,29024643824
438,06	1086,15239698339
438,19	1086,92230720742
438,32	1087,67796431099
438,45	1088,81100101661
438,58	1090,53794608781
438,72	1091,51835720465
438,85	1092,01473329663
438,98	1092,68743647957
439,11	1093,97246874008
439,24	1095,28660038625
439,37	1097,46894352154
439,5	1097,14007750678
439,63	1098,32310094116
439,76	1100,1720878884
439,89	1101,07857171737
440,02	1101,93714821773
440,15	1103,30933178949
440,29	1103,94087461368
440,42	1104,23345759819
440,55	1103,88005778054
440,68	1105,05865378577
440,81	1105,76742199074
440,94	1106,50740476378
441,07	1107,21595425562
441,2	1108,48174614549
441,33	1108,86121299509
441,46	1109,64599934751
441,59	1110,22062323514
441,72	1111,67334211868
441,85	1112,56519424758
441,99	1113,4119673812
442,12	1114,8480208215
442,25	1116,15684359698
442,38	1117,23494738989
442,51	1117,40203674348
442,64	1119,56775385888
442,77	1121,95419342905
442,9	1122,69104972633
443,03	1123,25319708476
443,16	1123,38589655665
443,29	1124,86013080143
443,42	1126,43947071212
443,55	1126,99971309558
443,68	1127,1952009065
443,82	1127,69796531886
443,95	1127,92532693075
444,08	1128,06594569748
444,21	1129,72966014466
444,34	1131,26464396925
444,47	1131,51828892015
444,6	1131,02959240779
444,73	1131,43007337627
444,86	1133,4899763355
444,99	1133,83355558857
445,12	1134,62081121704
445,25	1136,12802166624
445,38	1138,3947196642
445,51	1140,27751870527
445,64	1139,99930192631
445,78	1140,23654818686
445,91	1142,78675724077
446,04	1145,11211321326
446,17	1146,06153262317
446,3	1148,65069376258
446,43	1149,12110755347
446,56	1150,51078116161
446,69	1152,39755560022
446,82	1153,10095814436
446,95	1155,41425253205
447,08	1155,88334804354
447,21	1155,80202713669
447,34	1157,72026113679
447,47	1160,64562731613
447,6	1162,18963380027
447,73	1163,89278728455
447,86	1166,71240918849
447,99	1169,17448594374
448,13	1170,69237192069
448,26	1172,124132689
448,39	1174,2424148745
448,52	1175,83485050058
448,65	1178,21580202098
448,78	1180,35365975432
448,91	1182,22913551161
449,04	1184,2766789242
449,17	1186,61813363278
449,3	1187,1583561327
449,43	1188,40664702198
449,56	1190,06401549087
449,69	1191,1959886746
449,82	1192,63906328303
449,95	1194,51155460983
450,08	1196,72640929336
450,21	1197,92043147227
450,34	1199,09557544881
450,47	1199,12082280461
450,6	1200,1095429174
450,73	1201,08420528461
450,87	1201,11702116814
451	1201,10167472087
451,13	1201,69684819938
451,26	1202,75183311923
451,39	1203,77504065552
451,52	1204,69080932365
451,65	1206,49365102724
451,78	1207,81464024655
451,91	1208,85096434886
452,04	1210,39050747599
452,17	1212,01457523034
452,3	1212,96367075348
452,43	1212,43403924858
452,56	1210,99707600663
452,69	1214,03230314099
452,82	1215,95206569783
452,95	1215,36036853588
453,08	1215,31894410994
453,21	1215,61468796588
453,34	1216,41628215637
453,47	1216,2654659699
453,6	1217,45331671808
453,73	1219,56687002875
453,86	1221,57999916108
453,99	1222,09745853615
454,12	1223,89257398944
454,25	1225,96108776897
454,38	1227,35658207568
454,52	1228,95023739073
454,65	1229,99185409221
454,78	1231,71999995922
454,91	1233,75608629212
455,04	1234,089629227
455,17	1236,55795706367
455,3	1238,54647750795
455,43	1239,52437902819
455,56	1240,74839966327
455,69	1242,11239661054
455,82	1243,94377477359
455,95	1246,34932839303
456,08	1248,02693283115
456,21	1250,25410295981
456,34	1253,15085634971
456,47	1255,7969192861
456,6	1257,04580973437
456,73	1259,48935760372
456,86	1261,37199202445
456,99	1263,2270911596
457,12	1265,73138416948
457,25	1267,81415284635
457,38	1269,9870888584
457,51	1271,46505295966
457,64	1274,12035472868
457,77	1275,41075497453
457,9	1279,74309018669
458,03	1281,76575906717
458,16	1283,9030237548
458,29	1285,85704136627
458,42	1287,73908243252
458,55	1289,98654323491
458,68	1291,77348549224
458,81	1295,16822829662
458,94	1298,78276939927
459,07	1301,19623102893
459,2	1303,64841236357
459,33	1305,34946638353
459,46	1307,11217778088
459,59	1310,3066866376
459,72	1311,50699335565
459,85	1312,67539258198
459,98	1316,16635700657
460,11	1318,68958372148
460,24	1321,96084242016
460,37	1325,25933617634
460,5	1327,98210931579
460,63	1330,77458348553
460,76	1333,31642681744
460,89	1336,64942450167
461,02	1340,2581095896
461,15	1342,82453150169
461,28	1344,69260017652
461,41	1347,41789853743
461,54	1349,3932810116
461,67	1352,41884029374
461,8	1354,92308713978
461,93	1358,02866546655
462,06	1361,90218046076
462,19	1364,29919251731
462,32	1366,06712067906
462,45	1369,63544391915
462,58	1372,73515783035
462,71	1374,88423034731
462,84	1376,50408247621
462,97	1377,05204652504
463,1	1377,95041401227
463,23	1380,42605181489
463,36	1382,54616563404
463,49	1384,5749437604
463,62	1388,19163061355
463,75	1390,62499791144
463,88	1392,74044168495
464,01	1396,22267107682
464,14	1399,97591406325
464,27	1403,09127754523
