	Light corrected
400,03	--
400,17	31,2379632920124
400,3	4,87341324734029
400,43	20,5340213786639
400,56	25,7676404403997
400,7	23,6082627422049
400,83	18,6864185597862
400,96	12,9092124803338
401,09	13,818458080908
401,23	16,0688601935013
401,36	15,0061307188491
401,49	19,7045837137022
401,62	15,9171771939821
401,75	17,4888739162304
401,89	18,5751869179315
402,02	18,6261243885426
402,15	19,0600185140523
402,28	18,5986826111237
402,41	18,121149475276
402,55	16,9646796039014
402,68	17,367160071145
402,81	16,8100731811156
402,94	15,134250055223
403,08	14,6640616380565
403,21	14,1639415152718
403,34	13,6190820633745
403,47	12,9781348200436
403,6	13,0036454381848
403,74	14,0699502243648
403,87	15,3475571170899
404	15,2097650848635
404,13	14,185633255235
404,26	13,1106580201678
404,4	12,0643607381692
404,53	12,3041827714925
404,66	11,9314474624161
404,79	11,0703475972693
404,93	12,0715541455647
405,06	11,9958720879356
405,19	11,4124619481334
405,32	10,9789162677563
405,45	11,1200221465612
405,59	10,7423760956305
405,72	11,0022358295961
405,85	12,2133517210439
405,98	12,2267094159455
406,11	13,2081166596173
406,25	13,6478826586166
406,38	12,8422798726424
406,51	13,7240670167083
406,64	14,5963618790237
406,77	15,566904492067
406,91	16,3149634875995
407,04	15,7060594573011
407,17	15,826159441964
407,3	15,5559540858018
407,43	16,0202554610573
407,57	15,5705154361769
407,7	16,3733371094269
407,83	16,8828672408087
407,96	16,9203327885254
408,09	17,0720315573457
408,23	16,6045096974074
408,36	16,6291089404728
408,49	17,7352411035577
408,62	18,4011974647193
408,75	18,5116315540904
408,89	18,1392660732466
409,02	17,8391543991381
409,15	17,703894203838
409,28	17,2672456691776
409,41	17,1680435346502
409,55	16,2819929221386
409,68	16,2456449112204
409,81	16,2096708070909
409,94	16,517446153613
410,07	16,5297189948084
410,2	16,5123533637533
410,34	16,8178394524702
410,47	17,465789115579
410,6	17,4021885022237
410,73	17,7746977606327
410,86	18,2671729338576
411	19,179515681466
411,13	19,7334163686811
411,26	19,7087837337635
411,39	19,4751935319843
411,52	19,6862245032917
411,66	19,3541655334491
411,79	19,1441898646996
411,92	19,7851774837821
412,05	20,2648934128414
412,18	20,618620231345
412,31	20,3875342628907
412,45	20,4651995849948
412,58	20,7432415481793
412,71	21,1467926213344
412,84	21,7355138731433
412,97	22,1341441527721
413,11	23,1001820626703
413,24	23,4174895860983
413,37	23,5218874341088
413,5	23,6092226165746
413,63	24,1504153291734
413,76	24,6470455623507
413,9	23,932648883208
414,03	24,2723257628364
414,16	23,9914417787061
414,29	24,5283652302629
414,42	24,3380459396679
414,56	24,5983935402204
414,69	24,9019716048307
414,82	25,2894309632057
414,95	25,6641839618612
415,08	26,0949591492108
415,21	26,5766150635024
415,35	27,0932020572895
415,48	27,4683098624266
415,61	27,9891294013343
415,74	27,7732888656248
415,87	28,2498505156792
416	28,3895309776255
416,14	28,7505220789092
416,27	29,1058649526929
416,4	29,4372806505496
416,53	29,2688736347223
416,66	29,327917265339
416,79	29,8926420468378
416,93	29,2080606906608
417,06	29,1511335083116
417,19	28,9579795905412
417,32	29,0221751577758
417,45	28,886892799815
417,58	28,8305120974137
417,72	28,9396821651576
417,85	28,9233126706849
417,98	29,1859957169991
418,11	29,4728601934053
418,24	29,2958503875061
418,37	30,0766746700925
418,51	30,8170934650587
418,64	32,141328014475
418,77	32,216664821891
418,9	32,633706352398
419,03	33,0668819018646
419,16	33,1301948595004
419,29	32,8651607580309
419,43	33,0044823827698
419,56	33,209982360077
419,69	32,7682198264533
419,82	33,0055899387153
419,95	32,8658066731699
420,08	32,8124278870543
420,22	33,0934166952079
420,35	33,3662206069303
420,48	33,9105437621906
420,61	34,393695538103
420,74	35,0796281192596
420,87	35,1175244985648
421	34,990145042816
421,14	35,9494471741077
421,27	35,969885343375
421,4	36,4007234111623
421,53	36,801522390936
421,66	36,5240833752928
421,79	36,4818469860395
421,93	36,5752733407154
422,06	37,2967167255071
422,19	37,6430932658082
422,32	38,0636191173778
422,45	38,2802630228867
422,58	38,3731677799086
422,71	38,7144622394073
422,85	38,2123694251793
422,98	37,9781955372093
423,11	38,5347916589219
423,24	39,2840484910941
423,37	39,3803343536797
423,5	39,8021523186544
423,63	40,4037418625825
423,77	40,3783287983165
423,9	40,3265267238551
424,03	40,6850852246183
424,16	41,3107764271354
424,29	42,1302334570208
424,42	42,3144985839997
424,55	42,6937078874513
424,69	43,0085200917267
424,82	43,5951847365477
424,95	43,3510821766805
425,08	43,5577862073987
425,21	44,3577576574677
425,34	44,9420244894607
425,47	44,3984063617466
425,6	44,1257291153679
425,74	44,4604100541133
425,87	44,8781637850519
426	44,9213227072156
426,13	45,3603001436167
426,26	45,3866239307927
426,39	45,7054993913625
426,52	46,2525008197714
426,66	46,8361565061637
426,79	47,4360305086794
426,92	48,0940717165841
427,05	48,1734766398293
427,18	47,8294292211791
427,31	47,7923837087338
427,44	48,4070505897558
427,57	48,3577459394677
427,71	49,412271287809
427,84	49,7838119258488
427,97	49,8242019691424
428,1	49,3879046114903
428,23	49,2089653767671
428,36	49,2105809461326
428,49	49,4345838057591
428,62	49,8074922673008
428,76	50,8069735046351
428,89	50,8991493874704
429,02	51,2064490333147
429,15	50,7484030645494
429,28	50,9293502609247
429,41	51,0022664128162
429,54	51,5918494275707
429,67	51,5414078704406
429,81	51,5835416297734
429,94	51,870538214257
430,07	52,329181478393
430,2	52,2546551499458
430,33	52,9682717136801
430,46	53,0475070888083
430,59	53,3440171748448
430,72	53,5615621100997
430,85	53,9385771239564
430,99	54,2799184255358
431,12	54,9948368593908
431,25	55,2208550156827
431,38	55,5817704605141
431,51	55,5499190321816
431,64	56,1362743063858
431,77	55,9490979847063
431,9	56,3620371674623
432,03	56,9114460695716
432,17	57,2376829042242
432,3	57,7376997086853
432,43	58,3289791645436
432,56	58,5768172009254
432,69	59,5020916867826
432,82	59,9789597427507
432,95	61,0580399622627
433,08	61,318059494011
433,21	61,4191658908357
433,35	61,5317699787232
433,48	61,8549428188735
433,61	62,5186290321205
433,74	62,4877913976211
433,87	62,5991709553816
434	62,850235044639
434,13	63,1075597951938
434,26	63,5095712627366
434,39	63,4105430545611
434,53	63,6812430659785
434,66	64,5006771025026
434,79	64,893226848159
434,92	65,19891916317
435,05	65,1482448609859
435,18	65,9933418249096
435,31	65,8704696549645
435,44	66,0179498185245
435,57	66,401854651601
435,7	67,0869634373079
435,84	67,75119005901
435,97	67,7812137803793
436,1	68,0888875784367
436,23	68,0328072183133
436,36	68,2709414743511
436,49	68,8113509732384
436,62	69,1337232591448
